generated_character_id	generated_name	book_anchor	generated_role	generated_tier	source_anchor	authored_canonical_id	authored_canonical_name	inherited_locked_traits	inherited_sources	voice_constraint	pressure_response	dynamic_function	dynamic_relation_type	dynamic_counterpart	dynamic_polarity	dynamic_pressure_translation	variation_policy	prose_status
WC00451	Aeranorcoriabellaen451	B22	cellar cook	recurring-background	Rylos source orbit	wowas::rylos_vayne_johnson	Rylos (Rylos Vayne Johnson)	accountability NOT redemption | toxic codependence with Pip | Strange Gravity with Xethrolund Book 18 | mortal wound Book 24 | superpositioned with Pip to defeat Neith	Ares (VERY VERY primary) | Queen of the Damned | Uncle Jesse | Professor McGonagall (transmutation) | Yuno (secondary)	primary antagonist / accountability arc / Xeth love interest	extreme		book_copresence	Ursula	mixed	Characters share active-page pressure in the same book and can influence world texture together.	vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00452	Aerindracoriaashen452	B23	triage helper	deep-background	Kyreal source orbit	unmapped:kyreal	Kyreal										vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00453	Aerfiraianendararia453	B24	faction runner	support	Thessa source orbit	unmapped:thessa	Thessa										vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00454	Ashanaradalenavel454	B25	wolf-road scout	background	Kael source orbit	unmapped:kael	Kael										vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00455	Ashagalenael455	B26	glyph apprentice	story	Pael source orbit	unmapped:pael	Pael										vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00456	Aerfiracoriaavel456	B27	corridor child	recurring-background	Soth source orbit	unmapped:soth	Soth										vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00457	Ashaeliondalendion457	B28	field healer	deep-background	Vellin source orbit	unmapped:vellin	Vellin										vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00458	Brenaelavelel458	B29	cavern farmer	support	Corrath source orbit	unmapped:corrath	Corrath										vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00459	Aerdalenel459	B30	garden watcher	background	Dervish source orbit	wowas::dervish_cosmic_entity	Dervish	not good/evil | appears twice Book 01 | helps remake world Book 25		cosmic corrective force	extreme		book_copresence	Majiskii	mixed	Characters share active-page pressure in the same book and can influence world texture together.	vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00460	Aerfiraiandria460	B31	stone archivist	story	Pip source orbit	wowas::pip_indalwin_willowjayce	Pip (Indalwin Willowjayce)	he/him throughout | gay | ADHD+autistic | never truly redeemed by others — redeems the world | chipmunk form in Diamond time	Stitch | Tasslehoff | Barefoot | Asta | Yuno | Gray Fullbuster | Lucy Heartfilia | Drizzt | Menolly | Hermione Granger | F'nor | Erza Scarlet	protagonist / sonomancer / world-maker	extreme		pack_bond	Majiskii	protective	Majiskii remains part of Pip’s loyal dog-orbit and later grounds rooms and thresholds.	vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00461	Ashaelionavel461	B32	orchard guard	recurring-background	Rolzen source orbit	wowas::rolzen_warrior_anchor	Rolzen	Rolzen NOT Rosen | captured ~50yr before Pip returns | hog-tied by Pip — loves him from that moment | throws Pip over shoulder when protective | tucks Pip under arm when excited | decade after restoration before Pip allows connection | extremely persistent/horndog toward Pip	Jason Stackhouse | Charmy | Natsu | Noelle Silva	warrior / healing arc / flux field teacher	extreme		book_copresence	Mack	mixed	Characters share active-page pressure in the same book and can influence world texture together.	vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00462	Aeranorevaraaeldion462	B33	sonomancy listener	deep-background	Xethrolund source orbit	wowas::xethrolund_papi	Xethrolund	7ft red hair muscular | believes cannot feel — wrong | blue light = his frequency | He ran. He came. He arrived.	Giles | Remus Lupin | Librarian/Pratchett	librarian / guide / love interest	extreme		strange_gravity_to_late_love	Rylos (Rylos Vayne Johnson)	mixed	Their search for Pip turns fight into alliance, then into a difficult, accountability-bearing love.	vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00463	Aeranoramaraeldion463	B01	tunnel witness	support	Rylos source orbit	wowas::rylos_vayne_johnson	Rylos (Rylos Vayne Johnson)	accountability NOT redemption | toxic codependence with Pip | Strange Gravity with Xethrolund Book 18 | mortal wound Book 24 | superpositioned with Pip to defeat Neith	Ares (VERY VERY primary) | Queen of the Damned | Uncle Jesse | Professor McGonagall (transmutation) | Yuno (secondary)	primary antagonist / accountability arc / Xeth love interest	extreme		book_copresence	Daisy May	mixed	Characters share active-page pressure in the same book and can influence world texture together.	vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00464	Aerfiracairndion464	B02	threshold mason	background	Kyreal source orbit	unmapped:kyreal	Kyreal										vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00465	Aeranorianaelaria465	B03	bookbinder	story	Thessa source orbit	unmapped:thessa	Thessa										vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00466	Aerdalencrownion466	B04	bridge keeper	recurring-background	Kael source orbit	unmapped:kael	Kael										vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00467	Aerdaleniancinderen467	B05	market singer	deep-background	Pael source orbit	unmapped:pael	Pael										vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00468	Aerindraianbrinaen468	B06	glass forge worker	support	Soth source orbit	unmapped:soth	Soth										vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00469	Aeranoramaraen469	B07	ripper survivor	background	Vellin source orbit	unmapped:vellin	Vellin										vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00470	Aerfiraevarahaloren470	B08	map seller	story	Corrath source orbit	unmapped:corrath	Corrath										vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00471	Aerdalenluthaelarel471	B09	cellar cook	recurring-background	Dervish source orbit	wowas::dervish_cosmic_entity	Dervish	not good/evil | appears twice Book 01 | helps remake world Book 25		cosmic corrective force	extreme		book_copresence	Neith	mixed	Characters share active-page pressure in the same book and can influence world texture together.	vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00472	Aerfiraianbrookarel472	B10	triage helper	deep-background	Pip source orbit	wowas::pip_indalwin_willowjayce	Pip (Indalwin Willowjayce)	he/him throughout | gay | ADHD+autistic | never truly redeemed by others — redeems the world | chipmunk form in Diamond time	Stitch | Tasslehoff | Barefoot | Asta | Yuno | Gray Fullbuster | Lucy Heartfilia | Drizzt | Menolly | Hermione Granger | F'nor | Erza Scarlet	protagonist / sonomancer / world-maker	extreme		book_copresence	Majiskii	mixed	Characters share active-page pressure in the same book and can influence world texture together.	vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00473	Ashaelionindraavel473	B11	faction runner	support	Rolzen source orbit	wowas::rolzen_warrior_anchor	Rolzen	Rolzen NOT Rosen | captured ~50yr before Pip returns | hog-tied by Pip — loves him from that moment | throws Pip over shoulder when protective | tucks Pip under arm when excited | decade after restoration before Pip allows connection | extremely persistent/horndog toward Pip	Jason Stackhouse | Charmy | Natsu | Noelle Silva	warrior / healing arc / flux field teacher	extreme		protective_response_to_transformation	Pip (Indalwin Willowjayce)	protective	Rolzen answers the shell and wing eruption with body-forward guardianship and combat adaptation, not withdrawal.	vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00474	Aeranorevaraen474	B12	wolf-road scout	background	Xethrolund source orbit	wowas::xethrolund_papi	Xethrolund	7ft red hair muscular | believes cannot feel — wrong | blue light = his frequency | He ran. He came. He arrived.	Giles | Remus Lupin | Librarian/Pratchett	librarian / guide / love interest	extreme		book_copresence	Neith	mixed	Characters share active-page pressure in the same book and can influence world texture together.	vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00475	Ashaaveliel475	B13	glyph apprentice	story	Rylos source orbit	wowas::rylos_vayne_johnson	Rylos (Rylos Vayne Johnson)	accountability NOT redemption | toxic codependence with Pip | Strange Gravity with Xethrolund Book 18 | mortal wound Book 24 | superpositioned with Pip to defeat Neith	Ares (VERY VERY primary) | Queen of the Damned | Uncle Jesse | Professor McGonagall (transmutation) | Yuno (secondary)	primary antagonist / accountability arc / Xeth love interest	extreme		book_copresence	Daisy May	mixed	Characters share active-page pressure in the same book and can influence world texture together.	vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00476	Ashaavelanoraria476	B14	corridor child	recurring-background	Kyreal source orbit	unmapped:kyreal	Kyreal										vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00477	Aeranorcoriaiven477	B15	field healer	deep-background	Thessa source orbit	unmapped:thessa	Thessa										vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00478	Ashaelionmaeloren478	B16	cavern farmer	support	Kael source orbit	unmapped:kael	Kael										vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00479	Aerindraianivyavel479	B17	garden watcher	background	Pael source orbit	unmapped:pael	Pael										vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00480	Aerfiracoriaaelen480	B18	stone archivist	story	Soth source orbit	unmapped:soth	Soth										vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00481	Ashajoradalenel481	B19	orchard guard	recurring-background	Vellin source orbit	unmapped:vellin	Vellin										vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00482	Aeranoramarendarael482	B20	sonomancy listener	deep-background	Corrath source orbit	unmapped:corrath	Corrath										vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00483	Ashanaraanoraen483	B21	tunnel witness	support	Dervish source orbit	wowas::dervish_cosmic_entity	Dervish	not good/evil | appears twice Book 01 | helps remake world Book 25		cosmic corrective force	extreme		book_copresence	Rolzen	mixed	Characters share active-page pressure in the same book and can influence world texture together.	vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00484	Aeranorbellael484	B22	threshold mason	background	Pip source orbit	wowas::pip_indalwin_willowjayce	Pip (Indalwin Willowjayce)	he/him throughout | gay | ADHD+autistic | never truly redeemed by others — redeems the world | chipmunk form in Diamond time	Stitch | Tasslehoff | Barefoot | Asta | Yuno | Gray Fullbuster | Lucy Heartfilia | Drizzt | Menolly | Hermione Granger | F'nor | Erza Scarlet	protagonist / sonomancer / world-maker	extreme		calm_witness_to_transformation	Daisy May	protective	Daisy May reads the geode shell and wing-event as belonging rather than emergency and therefore steadies the page while everyone else panics.	vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00485	Aeranorluthivyiven485	B23	bookbinder	story	Rolzen source orbit	wowas::rolzen_warrior_anchor	Rolzen	Rolzen NOT Rosen | captured ~50yr before Pip returns | hog-tied by Pip — loves him from that moment | throws Pip over shoulder when protective | tucks Pip under arm when excited | decade after restoration before Pip allows connection | extremely persistent/horndog toward Pip	Jason Stackhouse | Charmy | Natsu | Noelle Silva	warrior / healing arc / flux field teacher	extreme		book_copresence	Majiskii	mixed	Characters share active-page pressure in the same book and can influence world texture together.	vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00486	Aerdalenianaeldria486	B24	bridge keeper	recurring-background	Xethrolund source orbit	wowas::xethrolund_papi	Xethrolund	7ft red hair muscular | believes cannot feel — wrong | blue light = his frequency | He ran. He came. He arrived.	Giles | Remus Lupin | Librarian/Pratchett	librarian / guide / love interest	extreme		book_copresence	Mack	mixed	Characters share active-page pressure in the same book and can influence world texture together.	vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00487	Aermaeloravel487	B25	market singer	deep-background	Rylos source orbit	wowas::rylos_vayne_johnson	Rylos (Rylos Vayne Johnson)	accountability NOT redemption | toxic codependence with Pip | Strange Gravity with Xethrolund Book 18 | mortal wound Book 24 | superpositioned with Pip to defeat Neith	Ares (VERY VERY primary) | Queen of the Damned | Uncle Jesse | Professor McGonagall (transmutation) | Yuno (secondary)	primary antagonist / accountability arc / Xeth love interest	extreme		book_copresence	Neith	mixed	Characters share active-page pressure in the same book and can influence world texture together.	vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00488	Aeranorianhaloriel488	B26	glass forge worker	support	Kyreal source orbit	unmapped:kyreal	Kyreal										vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00489	Ashajoraanordria489	B27	ripper survivor	background	Thessa source orbit	unmapped:thessa	Thessa										vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00490	Aeranororchardion490	B28	map seller	story	Kael source orbit	unmapped:kael	Kael										vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00491	Ashaavelmaeloren491	B29	cellar cook	recurring-background	Pael source orbit	unmapped:pael	Pael										vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00492	Aerdalenluthel492	B30	triage helper	deep-background	Soth source orbit	unmapped:soth	Soth										vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00493	Aerindrariverel493	B31	faction runner	support	Vellin source orbit	unmapped:vellin	Vellin										vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00494	Aermaelorhollowion494	B32	wolf-road scout	background	Corrath source orbit	unmapped:corrath	Corrath										vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00495	Ashaavelanorianaen495	B33	glyph apprentice	story	Dervish source orbit	wowas::dervish_cosmic_entity	Dervish	not good/evil | appears twice Book 01 | helps remake world Book 25		cosmic corrective force	extreme		book_copresence	Rylos (Rylos Vayne Johnson)	mixed	Characters share active-page pressure in the same book and can influence world texture together.	vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00496	Aeranorglassen496	B01	corridor child	recurring-background	Pip source orbit	wowas::pip_indalwin_willowjayce	Pip (Indalwin Willowjayce)	he/him throughout | gay | ADHD+autistic | never truly redeemed by others — redeems the world | chipmunk form in Diamond time	Stitch | Tasslehoff | Barefoot | Asta | Yuno | Gray Fullbuster | Lucy Heartfilia | Drizzt | Menolly | Hermione Granger | F'nor | Erza Scarlet	protagonist / sonomancer / world-maker	extreme		book_copresence	Rylos (Rylos Vayne Johnson)	mixed	Characters share active-page pressure in the same book and can influence world texture together.	vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00497	Aeranoramarkelanion497	B02	field healer	deep-background	Rolzen source orbit	wowas::rolzen_warrior_anchor	Rolzen	Rolzen NOT Rosen | captured ~50yr before Pip returns | hog-tied by Pip — loves him from that moment | throws Pip over shoulder when protective | tucks Pip under arm when excited | decade after restoration before Pip allows connection | extremely persistent/horndog toward Pip	Jason Stackhouse | Charmy | Natsu | Noelle Silva	warrior / healing arc / flux field teacher	extreme		co_protector	Xethrolund	mixed	Both become catastrophic counterforce engines when Pip is near collapse.	vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00498	Aerfiraluthaelaria498	B03	cavern farmer	support	Xethrolund source orbit	wowas::xethrolund_papi	Xethrolund	7ft red hair muscular | believes cannot feel — wrong | blue light = his frequency | He ran. He came. He arrived.	Giles | Remus Lupin | Librarian/Pratchett	librarian / guide / love interest	extreme		co_protector	Rolzen	mixed	Both become catastrophic counterforce engines when Pip is near collapse.	vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00499	Aeranoriankelanarel499	B04	garden watcher	background	Rylos source orbit	wowas::rylos_vayne_johnson	Rylos (Rylos Vayne Johnson)	accountability NOT redemption | toxic codependence with Pip | Strange Gravity with Xethrolund Book 18 | mortal wound Book 24 | superpositioned with Pip to defeat Neith	Ares (VERY VERY primary) | Queen of the Damned | Uncle Jesse | Professor McGonagall (transmutation) | Yuno (secondary)	primary antagonist / accountability arc / Xeth love interest	extreme		strange_gravity_to_late_love	Xethrolund	mixed	Their search for Pip turns fight into alliance, then into a difficult, accountability-bearing love.	vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00500	Aeranorevaraaen500	B05	stone archivist	story	Kyreal source orbit	unmapped:kyreal	Kyreal										vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00501	Aerindraiel501	B06	orchard guard	recurring-background	Thessa source orbit	unmapped:thessa	Thessa										vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00502	Aeranorianaen502	B07	sonomancy listener	deep-background	Kael source orbit	unmapped:kael	Kael										vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00503	Aeranorevaraforgeel503	B08	tunnel witness	support	Pael source orbit	unmapped:pael	Pael										vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00504	Aeranoramarhalorael504	B09	threshold mason	background	Soth source orbit	unmapped:soth	Soth										vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00505	Ashaelionfiraianion505	B10	bookbinder	story	Vellin source orbit	unmapped:vellin	Vellin										vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00506	Ashajoramaeloriven506	B11	bridge keeper	recurring-background	Corrath source orbit	unmapped:corrath	Corrath										vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00507	Aermaelorcoriaael507	B12	market singer	deep-background	Dervish source orbit	wowas::dervish_cosmic_entity	Dervish	not good/evil | appears twice Book 01 | helps remake world Book 25		cosmic corrective force	extreme		lattice_avatar_support	Mack	mythic	The Dervish acts as lattice-avatar and threshold-support, bearing resurrection ground at the end.	vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00508	Aeranorevaraendarel508	B13	glass forge worker	support	Pip source orbit	wowas::pip_indalwin_willowjayce	Pip (Indalwin Willowjayce)	he/him throughout | gay | ADHD+autistic | never truly redeemed by others — redeems the world | chipmunk form in Diamond time	Stitch | Tasslehoff | Barefoot | Asta | Yuno | Gray Fullbuster | Lucy Heartfilia | Drizzt | Menolly | Hermione Granger | F'nor | Erza Scarlet	protagonist / sonomancer / world-maker	extreme		biological_parent	Indalwin Willowjayce	mythic	Ursula is biological mother; karmic deity; wish-power origin.	vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00509	Caelianbrinelle509	B14	ripper survivor	background	Rolzen source orbit	wowas::rolzen_warrior_anchor	Rolzen	Rolzen NOT Rosen | captured ~50yr before Pip returns | hog-tied by Pip — loves him from that moment | throws Pip over shoulder when protective | tucks Pip under arm when excited | decade after restoration before Pip allows connection | extremely persistent/horndog toward Pip	Jason Stackhouse | Charmy | Natsu | Noelle Silva	warrior / healing arc / flux field teacher	extreme		book_copresence	Dervish	mixed	Characters share active-page pressure in the same book and can influence world texture together.	vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00510	Aeranorianlarkion510	B15	map seller	story	Xethrolund source orbit	wowas::xethrolund_papi	Xethrolund	7ft red hair muscular | believes cannot feel — wrong | blue light = his frequency | He ran. He came. He arrived.	Giles | Remus Lupin | Librarian/Pratchett	librarian / guide / love interest	extreme		book_copresence	Rolzen	mixed	Characters share active-page pressure in the same book and can influence world texture together.	vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00511	Aerfiracoriaaelavel511	B16	cellar cook	recurring-background	Rylos source orbit	wowas::rylos_vayne_johnson	Rylos (Rylos Vayne Johnson)	accountability NOT redemption | toxic codependence with Pip | Strange Gravity with Xethrolund Book 18 | mortal wound Book 24 | superpositioned with Pip to defeat Neith	Ares (VERY VERY primary) | Queen of the Damned | Uncle Jesse | Professor McGonagall (transmutation) | Yuno (secondary)	primary antagonist / accountability arc / Xeth love interest	extreme		book_copresence	Mack	mixed	Characters share active-page pressure in the same book and can influence world texture together.	vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00512	Ashaavelgroveaen512	B17	triage helper	deep-background	Kyreal source orbit	unmapped:kyreal	Kyreal										vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00513	Aerfiraianaelaria513	B18	faction runner	support	Thessa source orbit	unmapped:thessa	Thessa										vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00514	Aeranororchardiel514	B19	wolf-road scout	background	Kael source orbit	unmapped:kael	Kael										vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00515	Aerindrafendion515	B20	glyph apprentice	story	Pael source orbit	unmapped:pael	Pael										vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00516	Ashagaleniven516	B21	corridor child	recurring-background	Soth source orbit	unmapped:soth	Soth										vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00517	Aerdalencoriaaen517	B22	field healer	deep-background	Vellin source orbit	unmapped:vellin	Vellin										vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00518	Ashagalendalenaen518	B23	cavern farmer	support	Corrath source orbit	unmapped:corrath	Corrath										vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00519	Ashaavelanorion519	B24	garden watcher	background	Dervish source orbit	wowas::dervish_cosmic_entity	Dervish	not good/evil | appears twice Book 01 | helps remake world Book 25		cosmic corrective force	extreme		book_copresence	Mack	mixed	Characters share active-page pressure in the same book and can influence world texture together.	vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00520	Aermaelorael520	B25	stone archivist	story	Pip source orbit	wowas::pip_indalwin_willowjayce	Pip (Indalwin Willowjayce)	he/him throughout | gay | ADHD+autistic | never truly redeemed by others — redeems the world | chipmunk form in Diamond time	Stitch | Tasslehoff | Barefoot | Asta | Yuno | Gray Fullbuster | Lucy Heartfilia | Drizzt | Menolly | Hermione Granger | F'nor | Erza Scarlet	protagonist / sonomancer / world-maker	extreme		book_copresence	Solvaenkyr	mixed	Characters share active-page pressure in the same book and can influence world texture together.	vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00521	Ashaelionindraael521	B26	orchard guard	recurring-background	Rolzen source orbit	wowas::rolzen_warrior_anchor	Rolzen	Rolzen NOT Rosen | captured ~50yr before Pip returns | hog-tied by Pip — loves him from that moment | throws Pip over shoulder when protective | tucks Pip under arm when excited | decade after restoration before Pip allows connection | extremely persistent/horndog toward Pip	Jason Stackhouse | Charmy | Natsu | Noelle Silva	warrior / healing arc / flux field teacher	extreme		book_copresence	Mack	mixed	Characters share active-page pressure in the same book and can influence world texture together.	vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00522	Aermaeloremberen522	B27	sonomancy listener	deep-background	Xethrolund source orbit	wowas::xethrolund_papi	Xethrolund	7ft red hair muscular | believes cannot feel — wrong | blue light = his frequency | He ran. He came. He arrived.	Giles | Remus Lupin | Librarian/Pratchett	librarian / guide / love interest	extreme		book_copresence	Majiskii	mixed	Characters share active-page pressure in the same book and can influence world texture together.	vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00523	Ashagalenfiraael523	B28	tunnel witness	support	Rylos source orbit	wowas::rylos_vayne_johnson	Rylos (Rylos Vayne Johnson)	accountability NOT redemption | toxic codependence with Pip | Strange Gravity with Xethrolund Book 18 | mortal wound Book 24 | superpositioned with Pip to defeat Neith	Ares (VERY VERY primary) | Queen of the Damned | Uncle Jesse | Professor McGonagall (transmutation) | Yuno (secondary)	primary antagonist / accountability arc / Xeth love interest	extreme		mirror_pressure_under_transformation	Pip (Indalwin Willowjayce)	mixed	Rylos is forced to witness a form of Pip that is beautiful, dangerous, and no longer interpretable through the old control grammar.	vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00524	Aerdalenianendaren524	B29	threshold mason	background	Kyreal source orbit	unmapped:kyreal	Kyreal										vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00525	Aeranoramarfenael525	B30	bookbinder	story	Thessa source orbit	unmapped:thessa	Thessa										vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00526	Aerdalenianaelaen526	B31	bridge keeper	recurring-background	Kael source orbit	unmapped:kael	Kael										vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00527	Ashagalenaria527	B32	market singer	deep-background	Pael source orbit	unmapped:pael	Pael										vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00528	Aerfiracoriaael528	B33	glass forge worker	support	Soth source orbit	unmapped:soth	Soth										vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00529	Aeranorianivyel529	B01	ripper survivor	background	Vellin source orbit	unmapped:vellin	Vellin										vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00530	Aermaelorriveriel530	B02	map seller	story	Corrath source orbit	unmapped:corrath	Corrath										vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00531	Ashaavelaria531	B03	cellar cook	recurring-background	Dervish source orbit	wowas::dervish_cosmic_entity	Dervish	not good/evil | appears twice Book 01 | helps remake world Book 25		cosmic corrective force	extreme		book_copresence	Pip (Indalwin Willowjayce)	mixed	Characters share active-page pressure in the same book and can influence world texture together.	vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00532	Aeranorianendararel532	B04	triage helper	deep-background	Pip source orbit	wowas::pip_indalwin_willowjayce	Pip (Indalwin Willowjayce)	he/him throughout | gay | ADHD+autistic | never truly redeemed by others — redeems the world | chipmunk form in Diamond time	Stitch | Tasslehoff | Barefoot | Asta | Yuno | Gray Fullbuster | Lucy Heartfilia | Drizzt | Menolly | Hermione Granger | F'nor | Erza Scarlet	protagonist / sonomancer / world-maker	extreme		intuitive_geographic_bond	Lincoln County Coast	mythic	The oceanic dream is not symbolic; Oregon coastal water physically recognizes and claims Pip when touched.	vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00533	Aerdalenhollowdion533	B05	faction runner	support	Rolzen source orbit	wowas::rolzen_warrior_anchor	Rolzen	Rolzen NOT Rosen | captured ~50yr before Pip returns | hog-tied by Pip — loves him from that moment | throws Pip over shoulder when protective | tucks Pip under arm when excited | decade after restoration before Pip allows connection | extremely persistent/horndog toward Pip	Jason Stackhouse | Charmy | Natsu | Noelle Silva	warrior / healing arc / flux field teacher	extreme		protective_response_to_transformation	Pip (Indalwin Willowjayce)	protective	Rolzen answers the shell and wing eruption with body-forward guardianship and combat adaptation, not withdrawal.	vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
WC00534	Aerdalenevaraiven534	B06	wolf-road scout	background	Xethrolund source orbit	wowas::xethrolund_papi	Xethrolund	7ft red hair muscular | believes cannot feel — wrong | blue light = his frequency | He ran. He came. He arrived.	Giles | Remus Lupin | Librarian/Pratchett	librarian / guide / love interest	extreme		book_copresence	Mack	mixed	Characters share active-page pressure in the same book and can influence world texture together.	vary scene behavior through authored pressure/dynamic fields; do not clone prose or identity	no_generated_prose
