canonical_id	canonical_name	aliases	tier	pronouns	age	species	first_book	last_book	faction	role	locked_traits	shadow	magic	sources	voice_constraint	pressure_response	dynamic_function	relationship_functions	timeline_fields	source_registry	prose_policy
wowas::ithren_velthane_ashcinder	Ithren Vel'Thane Ash-Cinder		1	she/her			13	25	Resonance	sonomancy history keeper				Ollivander | The Ancient One	sonomancy history keeper	active	Thorn Ash'Koral returns: Corveth's reckoning. | Sorra's unnamed casualty returns: protocol development begins. | Rippers identified: Neith's spider-humanoid creatures.		"{""activity_mode"": ""introduced"", ""book_function_notes"": ""Thorn Ash'Koral returns: Corveth's reckoning. | Sorra's unnamed casualty returns: protocol development begins. | Rippers identified: Neith's spider-humanoid creatures."", ""book_num"": ""14"", ""book_title"": ""The Long Reorientation"", ""canonical_name"": ""Ithren Vel'Thane Ash-Cinder"", ""character_code"": ""wowas::ithren_velthane_ashcinder"", ""dimension_overlay"": ""none"", ""faction"": ""Resonance"", ""first_active_scene"": """", ""last_active_scene"": """", ""narrative_tier"": ""major_recurring"", ""peril_state"": ""active"", ""quest_role"": ""major_recurring"", ""region_code"": ""post_diamond_survivor_zones"", ""role_summary"": ""sonomancy history keeper"", ""source_basis"": ""placement_by_book"", ""timeline_band_code"": ""B14"", ""transformation_state"": ""stable""}"	06_CHARACTER_REGISTRY.json + wowas_character_timeline_lattice_UNIFIED_v14.tsv	metadata only; no generated prose
wowas::tavan_velthane_stonehayne	Tavan Vel'Thane Stone-Hayne		1	he/him			14	25	Resonance	mid-generation anchor					mid-generation anchor	active	Thorn Ash'Koral returns: Corveth's reckoning. | Sorra's unnamed casualty returns: protocol development begins. | Rippers identified: Neith's spider-humanoid creatures.		"{""activity_mode"": ""introduced"", ""book_function_notes"": ""Thorn Ash'Koral returns: Corveth's reckoning. | Sorra's unnamed casualty returns: protocol development begins. | Rippers identified: Neith's spider-humanoid creatures."", ""book_num"": ""14"", ""book_title"": ""The Long Reorientation"", ""canonical_name"": ""Tavan Vel'Thane Stone-Hayne"", ""character_code"": ""wowas::tavan_velthane_stonehayne"", ""dimension_overlay"": ""none"", ""faction"": ""Resonance"", ""first_active_scene"": """", ""last_active_scene"": """", ""narrative_tier"": ""major_recurring"", ""peril_state"": ""active"", ""quest_role"": ""major_recurring"", ""region_code"": ""post_diamond_survivor_zones"", ""role_summary"": ""mid-generation anchor"", ""source_basis"": ""placement_by_book"", ""timeline_band_code"": ""B14"", ""transformation_state"": ""stable""}"	06_CHARACTER_REGISTRY.json + wowas_character_timeline_lattice_UNIFIED_v14.tsv	metadata only; no generated prose
wowas::glint	Glint		1	unknown			9	25	deferred_canon_review	witness at choice trap / minor actor					witness at choice trap / minor actor	extreme	Revelation of the Vane: dead spots are the map of what was done. | Boojay paralyzes Pip. Paralysis transmuted into usable force. | Glass Palace = battery. Every surge harvested.		"{""activity_mode"": ""active"", ""book_function_notes"": ""Revelation of the Vane: dead spots are the map of what was done. | Boojay paralyzes Pip. Paralysis transmuted into usable force. | Glass Palace = battery. Every surge harvested."", ""book_num"": ""9"", ""book_title"": ""The Diamond Breaks"", ""canonical_name"": ""Glint"", ""character_code"": ""wowas::glint"", ""dimension_overlay"": ""none"", ""faction"": ""Veil-Walkers"", ""first_active_scene"": """", ""last_active_scene"": """", ""narrative_tier"": ""major_recurring"", ""peril_state"": ""extreme"", ""quest_role"": ""major_recurring"", ""region_code"": ""diamond_world"", ""role_summary"": ""witness at choice trap / minor actor"", ""source_basis"": ""placement_by_book"", ""timeline_band_code"": ""B09"", ""transformation_state"": ""stable""}"	06_CHARACTER_REGISTRY.json + wowas_character_timeline_lattice_UNIFIED_v14.tsv	metadata only; no generated prose
wowas::reth_nullheart	Reth Null-Heart		1	he/him			14	25	Meridian	grief counselor / partial-return analyst	suspects some returned people are not fully returned | processes no one processes him — found Oswyn								{}	06_CHARACTER_REGISTRY.json + wowas_character_timeline_lattice_UNIFIED_v14.tsv	metadata only; no generated prose
wowas::aenwyn	Aenwyn		1	she/her			14	25	Iron Accord	young survivor / Kyrel's co-dependent pair				Lavender Brown					{}	06_CHARACTER_REGISTRY.json + wowas_character_timeline_lattice_UNIFIED_v14.tsv	metadata only; no generated prose
wowas::reval	Reval		1	he/him			14	20	Ash-Born	internal tension with Corveth					internal tension with Corveth	active	Thorn Ash'Koral returns: Corveth's reckoning. | Sorra's unnamed casualty returns: protocol development begins. | Rippers identified: Neith's spider-humanoid creatures.		"{""activity_mode"": ""introduced"", ""book_function_notes"": ""Thorn Ash'Koral returns: Corveth's reckoning. | Sorra's unnamed casualty returns: protocol development begins. | Rippers identified: Neith's spider-humanoid creatures."", ""book_num"": ""14"", ""book_title"": ""The Long Reorientation"", ""canonical_name"": ""Reval"", ""character_code"": ""wowas::reval"", ""dimension_overlay"": ""none"", ""faction"": ""Ash-Born"", ""first_active_scene"": """", ""last_active_scene"": """", ""narrative_tier"": ""major_recurring"", ""peril_state"": ""active"", ""quest_role"": ""major_recurring"", ""region_code"": ""post_diamond_survivor_zones"", ""role_summary"": ""internal tension with Corveth"", ""source_basis"": ""placement_by_book"", ""timeline_band_code"": ""B14"", ""transformation_state"": ""stable""}"	06_CHARACTER_REGISTRY.json + wowas_character_timeline_lattice_UNIFIED_v14.tsv	metadata only; no generated prose
wowas::caera	Caera		1	she/her			13	25	Meridian (Sorra's off-ledger)	off-ledger negotiator				Littlefinger inverse | Nathalie/Lupin					{}	06_CHARACTER_REGISTRY.json + wowas_character_timeline_lattice_UNIFIED_v14.tsv	metadata only; no generated prose
wowas::pethran	Pethran		1	he/him			13	25	Iron Accord / cross-faction	post-collapse physical architect				Hephaestus | Christopher Wren	post-collapse physical architect	active	Thorn Ash'Koral returns: Corveth's reckoning. | Sorra's unnamed casualty returns: protocol development begins. | Rippers identified: Neith's spider-humanoid creatures.		"{""activity_mode"": ""active"", ""book_function_notes"": ""Thorn Ash'Koral returns: Corveth's reckoning. | Sorra's unnamed casualty returns: protocol development begins. | Rippers identified: Neith's spider-humanoid creatures."", ""book_num"": ""14"", ""book_title"": ""The Long Reorientation"", ""canonical_name"": ""Pethran"", ""character_code"": ""wowas::pethran"", ""dimension_overlay"": ""none"", ""faction"": ""Iron Accord / cross-faction"", ""first_active_scene"": """", ""last_active_scene"": """", ""narrative_tier"": ""major_recurring"", ""peril_state"": ""active"", ""quest_role"": ""major_recurring"", ""region_code"": ""post_diamond_survivor_zones"", ""role_summary"": ""post-collapse physical architect"", ""source_basis"": ""placement_by_book"", ""timeline_band_code"": ""B14"", ""transformation_state"": ""stable""}"	06_CHARACTER_REGISTRY.json + wowas_character_timeline_lattice_UNIFIED_v14.tsv	metadata only; no generated prose
wowas::feritha	Feritha		1	she/her			13	25	Iron Accord cross-faction	adult medical intake specialist					adult medical intake specialist	active	Pip emerges. 400 years of consequence visible. | Mack's grotesque form is not yet recognizable. Willow stands. Sap dried on bark — color of old music. | Rolzen's frontline role during the 400 years (revealed through survivor accounts — Rolzen himself not yet found).		"{""activity_mode"": ""introduced"", ""book_function_notes"": ""Pip emerges. 400 years of consequence visible. | Mack's grotesque form is not yet recognizable. Willow stands. Sap dried on bark \u2014 color of old music. | Rolzen's frontline role during the 400 years (revealed through survivor accounts \u2014 Rolzen himself not yet found)."", ""book_num"": ""13"", ""book_title"": ""The Afterwake"", ""canonical_name"": ""Feritha"", ""character_code"": ""wowas::feritha"", ""dimension_overlay"": ""none"", ""faction"": ""Iron Accord cross-faction"", ""first_active_scene"": """", ""last_active_scene"": """", ""narrative_tier"": ""major_recurring"", ""peril_state"": ""active"", ""quest_role"": ""major_recurring"", ""region_code"": ""post_diamond_survivor_zones"", ""role_summary"": ""adult medical intake specialist"", ""source_basis"": ""placement_by_book"", ""timeline_band_code"": ""B13"", ""transformation_state"": ""stable""}"	06_CHARACTER_REGISTRY.json + wowas_character_timeline_lattice_UNIFIED_v14.tsv	metadata only; no generated prose
wowas::selwyn	Selwyn		1	they/them			14	25	Iron Accord	youth cohort emotional support					youth cohort emotional support	active	Thorn Ash'Koral returns: Corveth's reckoning. | Sorra's unnamed casualty returns: protocol development begins. | Rippers identified: Neith's spider-humanoid creatures.		"{""activity_mode"": ""introduced"", ""book_function_notes"": ""Thorn Ash'Koral returns: Corveth's reckoning. | Sorra's unnamed casualty returns: protocol development begins. | Rippers identified: Neith's spider-humanoid creatures."", ""book_num"": ""14"", ""book_title"": ""The Long Reorientation"", ""canonical_name"": ""Selwyn"", ""character_code"": ""wowas::selwyn"", ""dimension_overlay"": ""none"", ""faction"": ""Iron Accord"", ""first_active_scene"": """", ""last_active_scene"": """", ""narrative_tier"": ""major_recurring"", ""peril_state"": ""active"", ""quest_role"": ""major_recurring"", ""region_code"": ""post_diamond_survivor_zones"", ""role_summary"": ""youth cohort emotional support"", ""source_basis"": ""placement_by_book"", ""timeline_band_code"": ""B14"", ""transformation_state"": ""stable""}"	06_CHARACTER_REGISTRY.json + wowas_character_timeline_lattice_UNIFIED_v14.tsv	metadata only; no generated prose
wowas::renath	Renath		1	he/him			14	25	Iron Accord / cross-faction	logistics coordinator					logistics coordinator	active	Thorn Ash'Koral returns: Corveth's reckoning. | Sorra's unnamed casualty returns: protocol development begins. | Rippers identified: Neith's spider-humanoid creatures.		"{""activity_mode"": ""introduced"", ""book_function_notes"": ""Thorn Ash'Koral returns: Corveth's reckoning. | Sorra's unnamed casualty returns: protocol development begins. | Rippers identified: Neith's spider-humanoid creatures."", ""book_num"": ""14"", ""book_title"": ""The Long Reorientation"", ""canonical_name"": ""Renath"", ""character_code"": ""wowas::renath"", ""dimension_overlay"": ""none"", ""faction"": ""Iron Accord / cross-faction"", ""first_active_scene"": """", ""last_active_scene"": """", ""narrative_tier"": ""major_recurring"", ""peril_state"": ""active"", ""quest_role"": ""major_recurring"", ""region_code"": ""post_diamond_survivor_zones"", ""role_summary"": ""logistics coordinator"", ""source_basis"": ""placement_by_book"", ""timeline_band_code"": ""B14"", ""transformation_state"": ""stable""}"	06_CHARACTER_REGISTRY.json + wowas_character_timeline_lattice_UNIFIED_v14.tsv	metadata only; no generated prose
wowas::broker_teth_unmarked	Broker Teth Unmarked		2	he/him			13	20	Unbound	cross-faction resource broker / quest-giver				Han Solo | Tyrion Lannister					{}	06_CHARACTER_REGISTRY.json + wowas_character_timeline_lattice_UNIFIED_v14.tsv	metadata only; no generated prose
wowas::keeper_olvath_archive	Keeper Olvath of the Resonance Archive		2	he/him			13	25	Resonance	physical archive keeper / written records									{}	06_CHARACTER_REGISTRY.json + wowas_character_timeline_lattice_UNIFIED_v14.tsv	metadata only; no generated prose
wowas::trademaster_saven_coalfire	Trade Master Saven Coalfire		2	she/her			14	22	Iron Accord	supply chain coordinator				Lobelia Sackville-Baggins reformed | Molly Weasley market mode					{}	06_CHARACTER_REGISTRY.json + wowas_character_timeline_lattice_UNIFIED_v14.tsv	metadata only; no generated prose
wowas::healer_thresh_nightbloom	Healer Thresh Nightbloom		2	they/them			14	25	Veil-Walkers	dimensional medicine specialist				The Ancient One | River Tam					{}	06_CHARACTER_REGISTRY.json + wowas_character_timeline_lattice_UNIFIED_v14.tsv	metadata only; no generated prose
wowas::sentry_vreth_ashkoral	Sentry Captain Vreth Ash'Koral		2	she/her			13	20	Ash-Born	sentry captain				Brienne of Tarth | Sergeant Carter inverse					{}	06_CHARACTER_REGISTRY.json + wowas_character_timeline_lattice_UNIFIED_v14.tsv	metadata only; no generated prose
wowas::highwarden_drest	High Warden Drest Ashkoral-Prime		2	he/him			13	21	Ash-Born	faction leader									{}	06_CHARACTER_REGISTRY.json + wowas_character_timeline_lattice_UNIFIED_v14.tsv	metadata only; no generated prose
wowas::accord_chair_peln	Accord Chair Peln Ironspoke		2	he/him			13	20	Iron Accord	governance chair				Atticus Finch | Arthur Weasley					{}	06_CHARACTER_REGISTRY.json + wowas_character_timeline_lattice_UNIFIED_v14.tsv	metadata only; no generated prose
wowas::resonance_elder_maev	Resonance Council Elder Maev		2	she/her			13	23	Resonance	council elder / sonomancy policy	classified certain sonomancy frequencies as forbidden — Pip uses them constantly			Yoda inverse | Dumbledore					{}	06_CHARACTER_REGISTRY.json + wowas_character_timeline_lattice_UNIFIED_v14.tsv	metadata only; no generated prose
wowas::meridian_archhealer_sova	Meridian Arch-Healer Sova		2	they/them			13	22	Meridian	arch-healer									{}	06_CHARACTER_REGISTRY.json + wowas_character_timeline_lattice_UNIFIED_v14.tsv	metadata only; no generated prose
wowas::ferryman_calix_grey	Ferryman Calix the Grey		2	he/him			14	25	Unaffiliated	cross-world liminal guide	price is always a truth, not money			Charon | Aslan as door-warden					{}	06_CHARACTER_REGISTRY.json + wowas_character_timeline_lattice_UNIFIED_v14.tsv	metadata only; no generated prose
wowas::voice_caster_milo_stillsound	Voice Caster Milo Stillsound		2	he/him			14	25	Resonance	information broadcaster									{}	06_CHARACTER_REGISTRY.json + wowas_character_timeline_lattice_UNIFIED_v14.tsv	metadata only; no generated prose
wowas::alex_market_guardian	Alex		2	unknown			2	2	Unaffiliated	entrusts Daisy May and Majiskii to Pip	brief — the act of entrustment IS the character				entrusts Daisy May and Majiskii to Pip	active	Alex entrusts Daisy May and Majiskii to Pip at the floating market. | Boojay: wounded jackrabbit in the market. Healing that does not hold. | Boojay: first sign of trouble — cold cruelty flash.		"{""activity_mode"": ""introduced"", ""book_function_notes"": ""Alex entrusts Daisy May and Majiskii to Pip at the floating market. | Boojay: wounded jackrabbit in the market. Healing that does not hold. | Boojay: first sign of trouble \u2014 cold cruelty flash."", ""book_num"": ""2"", ""book_title"": ""The Diary and the Blue Light"", ""canonical_name"": ""Alex"", ""character_code"": ""wowas::alex_market_guardian"", ""dimension_overlay"": ""none"", ""faction"": ""Unaffiliated"", ""first_active_scene"": """", ""last_active_scene"": """", ""narrative_tier"": ""secondary_recurring"", ""peril_state"": ""active"", ""quest_role"": ""major_recurring"", ""region_code"": ""diamond_world"", ""role_summary"": ""entrusts Daisy May and Majiskii to Pip"", ""source_basis"": ""placement_by_book"", ""timeline_band_code"": ""B02"", ""transformation_state"": ""stable""}"	06_CHARACTER_REGISTRY.json + wowas_character_timeline_lattice_UNIFIED_v14.tsv	metadata only; no generated prose
wowas::eyeless_city_governor	Eyeless City Governor		2	they/them			8	8	Floating City (independent)	governor of the floating city above the pit	agrees to Rolzen's field trip | treats Santa hat as structural crown								{}	06_CHARACTER_REGISTRY.json + wowas_character_timeline_lattice_UNIFIED_v14.tsv	metadata only; no generated prose
wowas::silence_death_warden	Unnamed Warden Friend (dies Book 15)		1	deferred_canon_review			1	15	Diamond survivor	core party member / dies in the Silence	NOT Rolzen, NOT Xeth, NOT Rylos | warm humor of the group | suggest Vel'Thane lineage				core party member / dies in the Silence	extreme	Pip finds Rolzen in feral mutilated state. Mistakes him for a ripper. | Ripper attack: Pip recreates diamond spell in their cell. Fights. Hog-ties Rolzen with whip. Raises diamond shield. Rolzen loves him from this moment. | Silence descends: absolute dark. Thick black.		"{""activity_mode"": ""introduced"", ""book_function_notes"": ""Pip finds Rolzen in feral mutilated state. Mistakes him for a ripper. | Ripper attack: Pip recreates diamond spell in their cell. Fights. Hog-ties Rolzen with whip. Raises diamond shield. Rolzen loves him from this moment. | Silence descends: absolute dark. Thick black."", ""book_num"": ""15"", ""book_title"": ""Suffocating in Silence"", ""canonical_name"": ""Unnamed Warden Friend (dies Book 15)"", ""character_code"": ""wowas::silence_death_warden"", ""dimension_overlay"": ""none"", ""faction"": ""Diamond survivor"", ""first_active_scene"": """", ""last_active_scene"": """", ""narrative_tier"": ""major_recurring"", ""peril_state"": ""extreme"", ""quest_role"": ""major_recurring"", ""region_code"": ""neith_border_silence_realms"", ""role_summary"": ""core party member / dies in the Silence"", ""source_basis"": ""placement_by_book"", ""timeline_band_code"": ""B15"", ""transformation_state"": ""stable""}"	06_CHARACTER_REGISTRY.json + wowas_character_timeline_lattice_UNIFIED_v14.tsv	metadata only; no generated prose
wowas::ripper_prime	Ripper-Prime		2	it/its			14	21	Neith's forces	lead Ripper / chief enforcer				Ungoliant | The Thing					{}	06_CHARACTER_REGISTRY.json + wowas_character_timeline_lattice_UNIFIED_v14.tsv	metadata only; no generated prose
wowas::cockatrice_king	King of the Cockatrice		1	it/its			1	10	none	monster antagonist / corrupted wizard	true form was once a powerful wizard — not yet revealed Book 04 | attacks defenseless Mack Book 10				monster antagonist / corrupted wizard	extreme	The Discard: Boojay's narcissistic disposal. | Mack: 40Hz → 42Hz. Opens portal. Leaves himself defenseless. | Cockatrice: attacks Mack immediately.		"{""activity_mode"": ""active"", ""book_function_notes"": ""The Discard: Boojay's narcissistic disposal. | Mack: 40Hz \u2192 42Hz. Opens portal. Leaves himself defenseless. | Cockatrice: attacks Mack immediately."", ""book_num"": ""10"", ""book_title"": ""Mack Falls"", ""canonical_name"": ""King of the Cockatrice"", ""character_code"": ""wowas::cockatrice_king"", ""dimension_overlay"": ""none"", ""faction"": ""none"", ""first_active_scene"": ""B10_003"", ""last_active_scene"": ""B10_R0634"", ""narrative_tier"": ""major_recurring"", ""peril_state"": ""extreme"", ""quest_role"": ""opposition"", ""region_code"": ""post_diamond_survivor_zones"", ""role_summary"": ""monster antagonist / corrupted wizard"", ""source_basis"": ""placement_by_book"", ""timeline_band_code"": ""B10"", ""transformation_state"": ""stable""}"	06_CHARACTER_REGISTRY.json + wowas_character_timeline_lattice_UNIFIED_v14.tsv	metadata only; no generated prose
