encounter_code	story_corridor	phase_window	state	county_anchor	anchor_city	encounter_title	involved_species_codes	primary_threat_tier	threat_signature	adventure_signature	why_edge_of_seat	scene_insertion_note
wowas::bannock_county_encounter_04	brochure_trace_inland	proof-to-pursuit corridor	Idaho	Bannock County	High Desert / Lava Corridor	Falls Overlook Fracture	wowas::bannock_county_arachnid_02; wowas::bannock_county_insect_02	high	A scenic ruin becomes a killbox once sound and water start carrying hostile signals.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Bannock County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for Idaho continuation county for intuition and highway ruin passage. Keep survival uncertain until the final exchange.
wowas::bannock_county_encounter_05	brochure_trace_inland	proof-to-pursuit corridor	Idaho	Bannock County	High Desert / Lava Corridor	Sign-Reader Ambush	wowas::bannock_county_arthropod_02; wowas::bannock_county_microbe_02	severe	What looks like scavenging is actually a layered lure by multiple intelligent species.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Bannock County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for Idaho continuation county for intuition and highway ruin passage. Keep survival uncertain until the final exchange.
wowas::bannock_county_encounter_06	brochure_trace_inland	proof-to-pursuit corridor	Idaho	Bannock County	High Desert / Lava Corridor	Interstate Night Crawl	wowas::bannock_county_reptile_01; wowas::bannock_county_insect_01; wowas::bannock_county_mammal_01	high	The monsters use reflective junk, road paint, and exhaust ghosts to scramble group cohesion.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Bannock County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for Idaho continuation county for intuition and highway ruin passage. Keep survival uncertain until the final exchange.
wowas::bonneville_county_encounter_01	brochure_trace_inland	proof-to-pursuit corridor	Idaho	Bonneville County	Snake River / Falls Corridor	Pit-Stop Omen Swarm	wowas::bonneville_county_insect_01; wowas::bonneville_county_arthropod_01; wowas::bonneville_county_amphibian_01	severe	The brochure proof site is alive with species that guard memory and punish shallow attention.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Bonneville County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for Idaho proof-to-pursuit handoff county. Keep survival uncertain until the final exchange.
wowas::bonneville_county_encounter_02	brochure_trace_inland	proof-to-pursuit corridor	Idaho	Bonneville County	Snake River / Falls Corridor	Sage Lot Rush	wowas::bonneville_county_arthropod_01; wowas::bonneville_county_insect_02; wowas::bonneville_county_stone_01	severe	Fast low species cut across the road while aerial ones punish hesitation.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Bonneville County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for Idaho proof-to-pursuit handoff county. Keep survival uncertain until the final exchange.
wowas::bonneville_county_encounter_03	brochure_trace_inland	proof-to-pursuit corridor	Idaho	Bonneville County	Snake River / Falls Corridor	Lava Culvert Stand	wowas::bonneville_county_microbe_01; wowas::bonneville_county_flora_02; wowas::bonneville_county_mammal_01	severe	The party must hold a narrow culvert as pressure builds from both sides.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Bonneville County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for Idaho proof-to-pursuit handoff county. Keep survival uncertain until the final exchange.
wowas::bonneville_county_encounter_04	brochure_trace_inland	proof-to-pursuit corridor	Idaho	Bonneville County	Snake River / Falls Corridor	Falls Overlook Fracture	wowas::bonneville_county_insect_02; wowas::bonneville_county_flora_01; wowas::bonneville_county_microbe_02	moderate	A scenic ruin becomes a killbox once sound and water start carrying hostile signals.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Bonneville County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for Idaho proof-to-pursuit handoff county. Keep survival uncertain until the final exchange.
wowas::bonneville_county_encounter_05	brochure_trace_inland	proof-to-pursuit corridor	Idaho	Bonneville County	Snake River / Falls Corridor	Sign-Reader Ambush	wowas::bonneville_county_insect_01; wowas::bonneville_county_arachnid_01	high	What looks like scavenging is actually a layered lure by multiple intelligent species.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Bonneville County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for Idaho proof-to-pursuit handoff county. Keep survival uncertain until the final exchange.
wowas::bonneville_county_encounter_06	brochure_trace_inland	proof-to-pursuit corridor	Idaho	Bonneville County	Snake River / Falls Corridor	Interstate Night Crawl	wowas::bonneville_county_bird_02; wowas::bonneville_county_microbe_01; wowas::bonneville_county_mammal_02	high	The monsters use reflective junk, road paint, and exhaust ghosts to scramble group cohesion.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Bonneville County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for Idaho proof-to-pursuit handoff county. Keep survival uncertain until the final exchange.
wowas::phelps_county_encounter_01	onondaga_shell_arc	Onondaga shell and siege corridor	Missouri	Phelps County	Rolla	Cave-Mouth Test	wowas::phelps_county_fish_01; wowas::phelps_county_arthropod_02	severe	Before the shell event, the cave-state fauna probes the party for weakness and leadership cracks.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Phelps County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for major biome / cave-state entry and institutional waypoint. Keep survival uncertain until the final exchange.
wowas::phelps_county_encounter_02	onondaga_shell_arc	Onondaga shell and siege corridor	Missouri	Phelps County	Rolla	Lily-Pad Pool Defense	wowas::phelps_county_mammal_01; wowas::phelps_county_insect_01; wowas::phelps_county_microbe_01; wowas::phelps_county_arthropod_02	severe	The party must hold around unstable calcite shelves while something hunts from below.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Phelps County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for major biome / cave-state entry and institutional waypoint. Keep survival uncertain until the final exchange.
wowas::phelps_county_encounter_03	onondaga_shell_arc	Onondaga shell and siege corridor	Missouri	Phelps County	Rolla	Shell Hardening Backlash	wowas::phelps_county_amphibian_01; wowas::phelps_county_arachnid_01; wowas::phelps_county_microbe_01	severe	Trying to free Pip makes the local ecosystem harsher, brighter, and less forgiving.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Phelps County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for major biome / cave-state entry and institutional waypoint. Keep survival uncertain until the final exchange.
wowas::phelps_county_encounter_04	onondaga_shell_arc	Onondaga shell and siege corridor	Missouri	Phelps County	Rolla	Three-Day Siege Hour	wowas::phelps_county_arthropod_02; wowas::phelps_county_fungus_02; wowas::phelps_county_microbe_01; wowas::phelps_county_arachnid_02	severe	One segment of the shell siege where attrition, sleep loss, and monster pressure nearly break the line.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Phelps County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for major biome / cave-state entry and institutional waypoint. Keep survival uncertain until the final exchange.
wowas::phelps_county_encounter_05	onondaga_shell_arc	Onondaga shell and siege corridor	Missouri	Phelps County	Rolla	Post-Emergence Chase	wowas::phelps_county_microbe_01; wowas::phelps_county_flora_01; wowas::phelps_county_fungus_02	severe	Pip’s new power buys survival, not safety, and the cave throws heavier species at the retreat.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Phelps County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for major biome / cave-state entry and institutional waypoint. Keep survival uncertain until the final exchange.
wowas::phelps_county_encounter_06	onondaga_shell_arc	Onondaga shell and siege corridor	Missouri	Phelps County	Rolla	Dragon-Light Counterpush	wowas::phelps_county_bird_01; wowas::phelps_county_fungus_02	moderate	The monsters cannot look directly at the shell light, but they learn to attack through indirect angles.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Phelps County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for major biome / cave-state entry and institutional waypoint. Keep survival uncertain until the final exchange.
wowas::crawford_county_encounter_01	onondaga_shell_arc	Onondaga shell and siege corridor	Missouri	Crawford County	Onondaga Cave State Park	Cave-Mouth Test	wowas::crawford_county_fungus_02; wowas::crawford_county_arachnid_01; wowas::crawford_county_flora_02	severe	Before the shell event, the cave-state fauna probes the party for weakness and leadership cracks.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Crawford County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for cave dream realization / dragon-shell eruption / siege corridor. Keep survival uncertain until the final exchange.
wowas::crawford_county_encounter_02	onondaga_shell_arc	Onondaga shell and siege corridor	Missouri	Crawford County	Onondaga Cave State Park	Lily-Pad Pool Defense	wowas::crawford_county_microbe_01; wowas::crawford_county_mammal_02; wowas::crawford_county_bird_02; wowas::crawford_county_arachnid_02	severe	The party must hold around unstable calcite shelves while something hunts from below.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Crawford County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for cave dream realization / dragon-shell eruption / siege corridor. Keep survival uncertain until the final exchange.
wowas::crawford_county_encounter_03	onondaga_shell_arc	Onondaga shell and siege corridor	Missouri	Crawford County	Onondaga Cave State Park	Shell Hardening Backlash	wowas::crawford_county_arachnid_02; wowas::crawford_county_mammal_02	severe	Trying to free Pip makes the local ecosystem harsher, brighter, and less forgiving.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Crawford County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for cave dream realization / dragon-shell eruption / siege corridor. Keep survival uncertain until the final exchange.
wowas::crawford_county_encounter_04	onondaga_shell_arc	Onondaga shell and siege corridor	Missouri	Crawford County	Onondaga Cave State Park	Three-Day Siege Hour	wowas::crawford_county_mammal_02; wowas::crawford_county_fish_01; wowas::crawford_county_fungus_02	severe	One segment of the shell siege where attrition, sleep loss, and monster pressure nearly break the line.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Crawford County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for cave dream realization / dragon-shell eruption / siege corridor. Keep survival uncertain until the final exchange.
wowas::crawford_county_encounter_05	onondaga_shell_arc	Onondaga shell and siege corridor	Missouri	Crawford County	Onondaga Cave State Park	Post-Emergence Chase	wowas::crawford_county_bird_02; wowas::crawford_county_insect_01; wowas::crawford_county_mammal_01; wowas::crawford_county_microbe_02	severe	Pip’s new power buys survival, not safety, and the cave throws heavier species at the retreat.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Crawford County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for cave dream realization / dragon-shell eruption / siege corridor. Keep survival uncertain until the final exchange.
wowas::crawford_county_encounter_06	onondaga_shell_arc	Onondaga shell and siege corridor	Missouri	Crawford County	Onondaga Cave State Park	Dragon-Light Counterpush	wowas::crawford_county_stone_01; wowas::crawford_county_bird_02	severe	The monsters cannot look directly at the shell light, but they learn to attack through indirect angles.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Crawford County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for cave dream realization / dragon-shell eruption / siege corridor. Keep survival uncertain until the final exchange.
wowas::hinds_county_encounter_01	mississippi_retreat	southbound retreat and shadow ordeal	Mississippi	Hinds County	Jackson / Retreat Basin	Retreat Basin Floodfight	wowas::hinds_county_microbe_02; wowas::hinds_county_bird_02; wowas::hinds_county_flora_01; wowas::hinds_county_mammal_01	severe	The group cannot tell which water is safe, and the monsters know how to weaponize that.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Hinds County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for southbound retreat, crater memory, and shadow-glass pressure. Keep survival uncertain until the final exchange.
wowas::hinds_county_encounter_02	mississippi_retreat	southbound retreat and shadow ordeal	Mississippi	Hinds County	Jackson / Retreat Basin	Crater Witness Stand	wowas::hinds_county_mammal_01; wowas::hinds_county_arachnid_02; wowas::hinds_county_amphibian_01	severe	The ground itself becomes part of the ordeal while species arrive to feed on recognition and fear.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Hinds County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for southbound retreat, crater memory, and shadow-glass pressure. Keep survival uncertain until the final exchange.
wowas::hinds_county_encounter_03	mississippi_retreat	southbound retreat and shadow ordeal	Mississippi	Hinds County	Jackson / Retreat Basin	Shadow-Glass Perimeter	wowas::hinds_county_reptile_01; wowas::hinds_county_flora_02; wowas::hinds_county_arachnid_02; wowas::hinds_county_fungus_02	severe	The party has to defend a ritual-like moment while trapped in line-of-sight with hostile species.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Hinds County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for southbound retreat, crater memory, and shadow-glass pressure. Keep survival uncertain until the final exchange.
wowas::hinds_county_encounter_04	mississippi_retreat	southbound retreat and shadow ordeal	Mississippi	Hinds County	Jackson / Retreat Basin	Yellow-Core Foreshock	wowas::hinds_county_fungus_02; wowas::hinds_county_arthropod_02; wowas::hinds_county_arachnid_01	severe	Omen species appear before Rylos’s awakening and make the field unstable.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Hinds County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for southbound retreat, crater memory, and shadow-glass pressure. Keep survival uncertain until the final exchange.
wowas::hinds_county_encounter_05	mississippi_retreat	southbound retreat and shadow ordeal	Mississippi	Hinds County	Jackson / Retreat Basin	Levee Break Run	wowas::hinds_county_arachnid_02; wowas::hinds_county_arthropod_02; wowas::hinds_county_amphibian_01; wowas::hinds_county_bird_01	severe	Retreat turns into a sprint through collapsing mud, broken walls, and pressure-fed mobs.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Hinds County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for southbound retreat, crater memory, and shadow-glass pressure. Keep survival uncertain until the final exchange.
wowas::hinds_county_encounter_06	mississippi_retreat	southbound retreat and shadow ordeal	Mississippi	Hinds County	Jackson / Retreat Basin	River-Fog Attrition	wowas::hinds_county_fungus_01; wowas::hinds_county_arthropod_02; wowas::hinds_county_microbe_01; wowas::hinds_county_insect_02	severe	Visibility dies and every sound might be rescue, lure, or the first hit of a swarm.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Hinds County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for southbound retreat, crater memory, and shadow-glass pressure. Keep survival uncertain until the final exchange.
wowas::warren_county_encounter_01	mississippi_retreat	southbound retreat and shadow ordeal	Mississippi	Warren County	Vicksburg / Crater Reach	Retreat Basin Floodfight	wowas::warren_county_mammal_01; wowas::warren_county_insect_02	severe	The group cannot tell which water is safe, and the monsters know how to weaponize that.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Warren County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for crater-return lane and visible aftermath basin. Keep survival uncertain until the final exchange.
wowas::warren_county_encounter_02	mississippi_retreat	southbound retreat and shadow ordeal	Mississippi	Warren County	Vicksburg / Crater Reach	Crater Witness Stand	wowas::warren_county_fungus_02; wowas::warren_county_bird_02; wowas::warren_county_arthropod_01	severe	The ground itself becomes part of the ordeal while species arrive to feed on recognition and fear.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Warren County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for crater-return lane and visible aftermath basin. Keep survival uncertain until the final exchange.
wowas::warren_county_encounter_03	mississippi_retreat	southbound retreat and shadow ordeal	Mississippi	Warren County	Vicksburg / Crater Reach	Shadow-Glass Perimeter	wowas::warren_county_insect_02; wowas::warren_county_fungus_01	moderate	The party has to defend a ritual-like moment while trapped in line-of-sight with hostile species.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Warren County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for crater-return lane and visible aftermath basin. Keep survival uncertain until the final exchange.
wowas::warren_county_encounter_04	mississippi_retreat	southbound retreat and shadow ordeal	Mississippi	Warren County	Vicksburg / Crater Reach	Yellow-Core Foreshock	wowas::warren_county_amphibian_01; wowas::warren_county_mammal_02; wowas::warren_county_insect_01	severe	Omen species appear before Rylos’s awakening and make the field unstable.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Warren County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for crater-return lane and visible aftermath basin. Keep survival uncertain until the final exchange.
wowas::warren_county_encounter_05	mississippi_retreat	southbound retreat and shadow ordeal	Mississippi	Warren County	Vicksburg / Crater Reach	Levee Break Run	wowas::warren_county_mammal_02; wowas::warren_county_flora_02; wowas::warren_county_microbe_02	severe	Retreat turns into a sprint through collapsing mud, broken walls, and pressure-fed mobs.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Warren County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for crater-return lane and visible aftermath basin. Keep survival uncertain until the final exchange.
wowas::warren_county_encounter_06	mississippi_retreat	southbound retreat and shadow ordeal	Mississippi	Warren County	Vicksburg / Crater Reach	River-Fog Attrition	wowas::warren_county_arachnid_02; wowas::warren_county_insect_02; wowas::warren_county_bird_01; wowas::warren_county_arachnid_01	severe	Visibility dies and every sound might be rescue, lure, or the first hit of a swarm.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Warren County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for crater-return lane and visible aftermath basin. Keep survival uncertain until the final exchange.
wowas::atlantic_county_encounter_01	east_coast_harvest_front	reference / memory / harvest-front insertions	New Jersey	Atlantic County	Atlantic City / Marsh Front	Boardwalk Harvest Memory	wowas::atlantic_county_mammal_01; wowas::atlantic_county_fish_01; wowas::atlantic_county_insect_02	severe	A refugee account or flashback where species feed alongside Neith’s human harvesting pressure.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Atlantic County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for one of the early visible Neith-harvest fronts. Keep survival uncertain until the final exchange.
wowas::atlantic_county_encounter_02	east_coast_harvest_front	reference / memory / harvest-front insertions	New Jersey	Atlantic County	Atlantic City / Marsh Front	Marsh Tunnel Collapse	wowas::atlantic_county_flora_01; wowas::atlantic_county_fish_01; wowas::atlantic_county_fungus_01	moderate	Evacuation routes fail under species that have learned to live inside disaster infrastructure.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Atlantic County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for one of the early visible Neith-harvest fronts. Keep survival uncertain until the final exchange.
wowas::atlantic_county_encounter_03	east_coast_harvest_front	reference / memory / harvest-front insertions	New Jersey	Atlantic County	Atlantic City / Marsh Front	Casino Shell Breach	wowas::atlantic_county_bird_01; wowas::atlantic_county_flora_01; wowas::atlantic_county_fungus_02	moderate	False glamour falls away while monsters and human panic amplify each other.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Atlantic County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for one of the early visible Neith-harvest fronts. Keep survival uncertain until the final exchange.
wowas::atlantic_county_encounter_04	east_coast_harvest_front	reference / memory / harvest-front insertions	New Jersey	Atlantic County	Atlantic City / Marsh Front	Ferry-Slip Last Stand	wowas::atlantic_county_microbe_01; wowas::atlantic_county_flora_01	severe	A crowd-control scene where monster behavior shapes who escapes and who disappears.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Atlantic County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for one of the early visible Neith-harvest fronts. Keep survival uncertain until the final exchange.
wowas::atlantic_county_encounter_05	east_coast_harvest_front	reference / memory / harvest-front insertions	New Jersey	Atlantic County	Atlantic City / Marsh Front	Pine Barrens Refugee Hunt	wowas::atlantic_county_arachnid_02; wowas::atlantic_county_insect_02; wowas::atlantic_county_microbe_02	severe	The monsters turn open ground and thin woods into a system of attrition and rumor.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Atlantic County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for one of the early visible Neith-harvest fronts. Keep survival uncertain until the final exchange.
wowas::atlantic_county_encounter_06	east_coast_harvest_front	reference / memory / harvest-front insertions	New Jersey	Atlantic County	Atlantic City / Marsh Front	Salt-Marsh Pursuit	wowas::atlantic_county_mammal_02; wowas::atlantic_county_flora_01; wowas::atlantic_county_arachnid_01	severe	The species move like the tide: patient, coordinated, and impossible to outrun without sacrifice.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Atlantic County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for one of the early visible Neith-harvest fronts. Keep survival uncertain until the final exchange.
wowas::suffolk_county_encounter_01	east_coast_harvest_front	reference / memory / harvest-front insertions	New York	Suffolk County	Long Island / Outer Harvest Front	Boardwalk Harvest Memory	wowas::suffolk_county_reptile_01; wowas::suffolk_county_arthropod_01	severe	A refugee account or flashback where species feed alongside Neith’s human harvesting pressure.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Suffolk County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for outer east-coast harvest corridor and refugee memory source. Keep survival uncertain until the final exchange.
wowas::suffolk_county_encounter_02	east_coast_harvest_front	reference / memory / harvest-front insertions	New York	Suffolk County	Long Island / Outer Harvest Front	Marsh Tunnel Collapse	wowas::suffolk_county_mammal_01; wowas::suffolk_county_fungus_01; wowas::suffolk_county_arachnid_01; wowas::suffolk_county_insect_02	severe	Evacuation routes fail under species that have learned to live inside disaster infrastructure.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Suffolk County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for outer east-coast harvest corridor and refugee memory source. Keep survival uncertain until the final exchange.
wowas::suffolk_county_encounter_03	east_coast_harvest_front	reference / memory / harvest-front insertions	New York	Suffolk County	Long Island / Outer Harvest Front	Casino Shell Breach	wowas::suffolk_county_mammal_02; wowas::suffolk_county_microbe_01	severe	False glamour falls away while monsters and human panic amplify each other.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Suffolk County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for outer east-coast harvest corridor and refugee memory source. Keep survival uncertain until the final exchange.
wowas::suffolk_county_encounter_04	east_coast_harvest_front	reference / memory / harvest-front insertions	New York	Suffolk County	Long Island / Outer Harvest Front	Ferry-Slip Last Stand	wowas::suffolk_county_arthropod_02; wowas::suffolk_county_insect_02; wowas::suffolk_county_flora_02	severe	A crowd-control scene where monster behavior shapes who escapes and who disappears.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Suffolk County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for outer east-coast harvest corridor and refugee memory source. Keep survival uncertain until the final exchange.
wowas::suffolk_county_encounter_05	east_coast_harvest_front	reference / memory / harvest-front insertions	New York	Suffolk County	Long Island / Outer Harvest Front	Pine Barrens Refugee Hunt	wowas::suffolk_county_fungus_02; wowas::suffolk_county_arachnid_01; wowas::suffolk_county_bird_02; wowas::suffolk_county_fish_01	severe	The monsters turn open ground and thin woods into a system of attrition and rumor.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Suffolk County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for outer east-coast harvest corridor and refugee memory source. Keep survival uncertain until the final exchange.
wowas::suffolk_county_encounter_06	east_coast_harvest_front	reference / memory / harvest-front insertions	New York	Suffolk County	Long Island / Outer Harvest Front	Salt-Marsh Pursuit	wowas::suffolk_county_reptile_01; wowas::suffolk_county_microbe_01	severe	The species move like the tide: patient, coordinated, and impossible to outrun without sacrifice.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Suffolk County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for outer east-coast harvest corridor and refugee memory source. Keep survival uncertain until the final exchange.
