entity_code	common_name	neo_scientific_name	base_american_anchor	anchor_scientific_name	life_domain	american_range_or_anchor	wowas_zone_fit	myth_register	microbiology_register	source_media_register_1	source_media_register_2	source_media_register_3	source_trait_stack	pressure_split	morph_description	behavior_in_world	ecological_function	danger_to_humans	quest_or_scene_use	generator_notes	county_anchor	story_corridor_phase
wowas::insect_035	Thorn-web Firefly	Photinus quoralis	firefly	Photinus pyralis	insect	Heartland / Deepwood	zone::ironmarsh	hodag-register	gut mutualism	Noelle Silva	Bad Santa	Lacuna Coil	pride under terror becoming force; profane tenderness under rot; gothic split-voice atmosphere	unstable_mixed_field	American firefly reimagined through Noelle Silva, Bad Santa, and Lacuna Coil; its body keeps the native silhouette but carries altered tissue, display, or behavior that makes it read as WoWaS-native rather than imported.	creates attraction and dread together; its presence can rescue one layer of the world while endangering another	swarm, pollination, and signal-density pressure	variable; safe to approach only when the surrounding field reads coherent	Use in The Ironmarsh to make the environment feel inhabited by consequence: tracking, omen, obstacle, resource, or moral mirror for Pip's party.	Keep American naming forward in prose. Source-media names remain generator-side only; never surface them in final narrative description.		
wowas::insect_036	Lantern-drift Praying Mantis	Tenodera mimetica	praying mantis	Tenodera sinensis	insect	Ashfields / Heartland	zone::thornridge	none	none	Drizzt Do'Urden	Elle Woods	American jackalope	precision exile ethics; disarming genius; false-rabbit trickster uncanniness	wonder_from_wreckage	American praying mantis reimagined through Drizzt Do'Urden, Elle Woods, and American jackalope; its body keeps the native silhouette but carries altered tissue, display, or behavior that makes it read as WoWaS-native rather than imported.	builds livable beauty from damage, leaves repair-signs or navigable patterns in its wake	swarm, pollination, and signal-density pressure	moderate if cornered; high only when its repair pattern is interrupted	Use in The Thornridge to make the environment feel inhabited by consequence: tracking, omen, obstacle, resource, or moral mirror for Pip's party.	Keep American naming forward in prose. Source-media names remain generator-side only; never surface them in final narrative description.		
wowas::insect_037	Storm-choir Carpenter Ant	Camponotus arcovita	carpenter ant	Camponotus pennsylvanicus	insect	Deepwood / Heartland	zone::deepwood_remnant	jackalope-register	mycorrhizal exchange	Gromph Baenre	Lindsey Stirling	Thunderbird register	ruthless hidden calculation; kinetic string-line motion; storm-borne sacred scale	fear_by_stripping	American carpenter ant reimagined through Gromph Baenre, Lindsey Stirling, and Thunderbird register; its body keeps the native silhouette but carries altered tissue, display, or behavior that makes it read as WoWaS-native rather than imported.	removes shelter, warmth, memory, or surface coherence wherever it feeds or nests	swarm, pollination, and signal-density pressure	high; contact usually extracts something vital	Use in The Deepwood Remnant to make the environment feel inhabited by consequence: tracking, omen, obstacle, resource, or moral mirror for Pip's party.	Keep American naming forward in prose. Source-media names remain generator-side only; never surface them in final narrative description.		
wowas::insect_038	Rib-scar Wheel Bug	Arilus corticata	wheel bug	Arilus cristatus	insect	Heartland / Thornridge	zone::saltflat_crossing	thunderbird-register	slime mold logic	Ares	Apocalyptica	Mothman register	war-beauty and grievance; percussive cello ferocity; warning apparition pressure	unstable_mixed_field	American wheel bug reimagined through Ares, Apocalyptica, and Mothman register; its body keeps the native silhouette but carries altered tissue, display, or behavior that makes it read as WoWaS-native rather than imported.	creates attraction and dread together; its presence can rescue one layer of the world while endangering another	swarm, pollination, and signal-density pressure	variable; safe to approach only when the surrounding field reads coherent	Use in The Saltflat Crossing to make the environment feel inhabited by consequence: tracking, omen, obstacle, resource, or moral mirror for Pip's party.	Keep American naming forward in prose. Source-media names remain generator-side only; never surface them in final narrative description.		
wowas::arachnid_039	Grain-bloom Black Widow	Latrodectus fulgora	black widow	Latrodectus mactans	arachnid	Saltflat / Heartland	zone::outer_territories	mothman-register	gut mutualism	Professor McGonagall	Metallica	Hodag register	identity-through-transformation; storm-weight aggression; ridged forest menace	wonder_from_wreckage	American black widow reimagined through Professor McGonagall, Metallica, and Hodag register; its body keeps the native silhouette but carries altered tissue, display, or behavior that makes it read as WoWaS-native rather than imported.	builds livable beauty from damage, leaves repair-signs or navigable patterns in its wake	web, ambush, and pattern-capture pressure	moderate if cornered; high only when its repair pattern is interrupted	Use in The Outer Territories to make the environment feel inhabited by consequence: tracking, omen, obstacle, resource, or moral mirror for Pip's party.	Keep American naming forward in prose. Source-media names remain generator-side only; never surface them in final narrative description.		
wowas::arachnid_040	Mourn-vault Wolf Spider	Lycosidae mirabilis	wolf spider	Lycosidae spp.	arachnid	Outer Territories / Heartland	zone::heartland	coyote-trickster	none	Freddy Krueger	Sara Evans	Coyote-trickster register	dream-penetration and intimate threat; open-hearted country lift; clever hunger and misdirection	fear_by_stripping	American wolf spider reimagined through Freddy Krueger, Sara Evans, and Coyote-trickster register; its body keeps the native silhouette but carries altered tissue, display, or behavior that makes it read as WoWaS-native rather than imported.	removes shelter, warmth, memory, or surface coherence wherever it feeds or nests	web, ambush, and pattern-capture pressure	high; contact usually extracts something vital	Use in The Heartland to make the environment feel inhabited by consequence: tracking, omen, obstacle, resource, or moral mirror for Pip's party.	Keep American naming forward in prose. Source-media names remain generator-side only; never surface them in final narrative description.		
wowas::arachnid_041	Glass-lark Orb-Weaver	Araneidae ferrosonus	orb-weaver	Araneidae spp.	arachnid	Deepwood / Basin	zone::ashfields	dust-bowl ghost-light	mycorrhizal exchange	Jason Voorhees	Michael Jackson	slime mold logic	relentless arrival; precision broadcast and impossible rhythm; distributed problem solving	unstable_mixed_field	American orb-weaver reimagined through Jason Voorhees, Michael Jackson, and slime mold logic; its body keeps the native silhouette but carries altered tissue, display, or behavior that makes it read as WoWaS-native rather than imported.	creates attraction and dread together; its presence can rescue one layer of the world while endangering another	web, ambush, and pattern-capture pressure	variable; safe to approach only when the surrounding field reads coherent	Use in The Ashfields to make the environment feel inhabited by consequence: tracking, omen, obstacle, resource, or moral mirror for Pip's party.	Keep American naming forward in prose. Source-media names remain generator-side only; never surface them in final narrative description.		
wowas::arthropod_042	Wire-wasp American Lobster	Homarus umbraecallis	American lobster	Homarus americanus	arthropod	Outer Waters / Mythic spill	zone::still_water_basin	railroad phantom	slime mold logic	Bad Santa	Lacuna Coil	mycorrhizal network	profane tenderness under rot; gothic split-voice atmosphere; underground exchange intelligence	wonder_from_wreckage	American American lobster reimagined through Bad Santa, Lacuna Coil, and mycorrhizal network; its body keeps the native silhouette but carries altered tissue, display, or behavior that makes it read as WoWaS-native rather than imported.	builds livable beauty from damage, leaves repair-signs or navigable patterns in its wake	hard-shell salvage and ancient-body pressure	moderate if cornered; high only when its repair pattern is interrupted	Use in The Still Water Basin to make the environment feel inhabited by consequence: tracking, omen, obstacle, resource, or moral mirror for Pip's party.	Keep American naming forward in prose. Source-media names remain generator-side only; never surface them in final narrative description.		
wowas::arthropod_043	Ash-riddle Horseshoe Crab	Limulus sylvata	horseshoe crab	Limulus polyphemus	arthropod	Basin / old-sea memory	zone::ironmarsh	blue-dog warning	gut mutualism	Elle Woods	American jackalope	biofilm persistence	disarming genius; false-rabbit trickster uncanniness; sheathing collective survival	fear_by_stripping	American horseshoe crab reimagined through Elle Woods, American jackalope, and biofilm persistence; its body keeps the native silhouette but carries altered tissue, display, or behavior that makes it read as WoWaS-native rather than imported.	removes shelter, warmth, memory, or surface coherence wherever it feeds or nests	hard-shell salvage and ancient-body pressure	high; contact usually extracts something vital	Use in The Ironmarsh to make the environment feel inhabited by consequence: tracking, omen, obstacle, resource, or moral mirror for Pip's party.	Keep American naming forward in prose. Source-media names remain generator-side only; never surface them in final narrative description.		
wowas::arthropod_044	Bone-knell Giant Desert Centipede	Scolopendra threnodia	giant desert centipede	Scolopendra heros	arthropod	Saltflat Crossing	zone::thornridge	hodag-register	none	Lindsey Stirling	Thunderbird register	phage burst cycle	kinetic string-line motion; storm-borne sacred scale; precision rupture and takeover	unstable_mixed_field	American giant desert centipede reimagined through Lindsey Stirling, Thunderbird register, and phage burst cycle; its body keeps the native silhouette but carries altered tissue, display, or behavior that makes it read as WoWaS-native rather than imported.	creates attraction and dread together; its presence can rescue one layer of the world while endangering another	hard-shell salvage and ancient-body pressure	variable; safe to approach only when the surrounding field reads coherent	Use in The Thornridge to make the environment feel inhabited by consequence: tracking, omen, obstacle, resource, or moral mirror for Pip's party.	Keep American naming forward in prose. Source-media names remain generator-side only; never surface them in final narrative description.		
wowas::flora_045	Moss-flood White Oak	Quercus quoralis	white oak	Quercus alba	flora	Heartland / Deepwood	zone::deepwood_remnant	none	mycorrhizal exchange	Apocalyptica	Mothman register	tardigrade endurance	percussive cello ferocity; warning apparition pressure; impossible survival dormancy	wonder_from_wreckage	American white oak reimagined through Apocalyptica, Mothman register, and tardigrade endurance; its body keeps the native silhouette but carries altered tissue, display, or behavior that makes it read as WoWaS-native rather than imported.	builds livable beauty from damage, leaves repair-signs or navigable patterns in its wake	rooted beauty/poison/shelter economy pressure	moderate if cornered; high only when its repair pattern is interrupted	Use in The Deepwood Remnant to make the environment feel inhabited by consequence: tracking, omen, obstacle, resource, or moral mirror for Pip's party.	Keep American naming forward in prose. Source-media names remain generator-side only; never surface them in final narrative description.		
wowas::flora_046	Shard-mantle American Sycamore	Platanus mimetica	American sycamore	Platanus occidentalis	flora	Basin / Heartland	zone::saltflat_crossing	jackalope-register	slime mold logic	Metallica	Hodag register	Stitch	storm-weight aggression; ridged forest menace; engineered ferocity choosing attachment	fear_by_stripping	American American sycamore reimagined through Metallica, Hodag register, and Stitch; its body keeps the native silhouette but carries altered tissue, display, or behavior that makes it read as WoWaS-native rather than imported.	removes shelter, warmth, memory, or surface coherence wherever it feeds or nests	rooted beauty/poison/shelter economy pressure	high; contact usually extracts something vital	Use in The Saltflat Crossing to make the environment feel inhabited by consequence: tracking, omen, obstacle, resource, or moral mirror for Pip's party.	Keep American naming forward in prose. Source-media names remain generator-side only; never surface them in final narrative description.		
wowas::flora_047	Velvet-lure Saguaro Cactus	Carnegiea arcovita	saguaro cactus	Carnegiea gigantea	flora	Saltflat Crossing	zone::outer_territories	thunderbird-register	gut mutualism	Sara Evans	Coyote-trickster register	Tasslehoff Burrfoot	open-hearted country lift; clever hunger and misdirection; curiosity ignoring the danger boundary	unstable_mixed_field	American saguaro cactus reimagined through Sara Evans, Coyote-trickster register, and Tasslehoff Burrfoot; its body keeps the native silhouette but carries altered tissue, display, or behavior that makes it read as WoWaS-native rather than imported.	creates attraction and dread together; its presence can rescue one layer of the world while endangering another	rooted beauty/poison/shelter economy pressure	variable; safe to approach only when the surrounding field reads coherent	Use in The Outer Territories to make the environment feel inhabited by consequence: tracking, omen, obstacle, resource, or moral mirror for Pip's party.	Keep American naming forward in prose. Source-media names remain generator-side only; never surface them in final narrative description.		
wowas::flora_048	Mercy-scribe Spanish Moss	Tillandsia corticata	Spanish moss	Tillandsia usneoides	flora	Ironmarsh	zone::heartland	mothman-register	none	Michael Jackson	slime mold logic	Jason Stackhouse	precision broadcast and impossible rhythm; distributed problem solving; earnest body-forward warmth	wonder_from_wreckage	American Spanish moss reimagined through Michael Jackson, slime mold logic, and Jason Stackhouse; its body keeps the native silhouette but carries altered tissue, display, or behavior that makes it read as WoWaS-native rather than imported.	builds livable beauty from damage, leaves repair-signs or navigable patterns in its wake	rooted beauty/poison/shelter economy pressure	moderate if cornered; high only when its repair pattern is interrupted	Use in The Heartland to make the environment feel inhabited by consequence: tracking, omen, obstacle, resource, or moral mirror for Pip's party.	Keep American naming forward in prose. Source-media names remain generator-side only; never surface them in final narrative description.		
wowas::flora_049	Needle-wake Milkweed	Asclepias fulgora	milkweed	Asclepias syriaca	flora	Ashfields / Heartland	zone::ashfields	coyote-trickster	mycorrhizal exchange	Lacuna Coil	mycorrhizal network	Charmy	gothic split-voice atmosphere; underground exchange intelligence; emotional volatility with nourishment drive	fear_by_stripping	American milkweed reimagined through Lacuna Coil, mycorrhizal network, and Charmy; its body keeps the native silhouette but carries altered tissue, display, or behavior that makes it read as WoWaS-native rather than imported.	removes shelter, warmth, memory, or surface coherence wherever it feeds or nests	rooted beauty/poison/shelter economy pressure	high; contact usually extracts something vital	Use in The Ashfields to make the environment feel inhabited by consequence: tracking, omen, obstacle, resource, or moral mirror for Pip's party.	Keep American naming forward in prose. Source-media names remain generator-side only; never surface them in final narrative description.		
wowas::flora_050	Cinder-crown Sunflower	Helianthus mirabilis	sunflower	Helianthus annuus	flora	Ashfields	zone::still_water_basin	dust-bowl ghost-light	slime mold logic	American jackalope	biofilm persistence	Natsu Dragneel	false-rabbit trickster uncanniness; sheathing collective survival; explosive protectiveness and heat-hunger	unstable_mixed_field	American sunflower reimagined through American jackalope, biofilm persistence, and Natsu Dragneel; its body keeps the native silhouette but carries altered tissue, display, or behavior that makes it read as WoWaS-native rather than imported.	creates attraction and dread together; its presence can rescue one layer of the world while endangering another	rooted beauty/poison/shelter economy pressure	variable; safe to approach only when the surrounding field reads coherent	Use in The Still Water Basin to make the environment feel inhabited by consequence: tracking, omen, obstacle, resource, or moral mirror for Pip's party.	Keep American naming forward in prose. Source-media names remain generator-side only; never surface them in final narrative description.		
wowas::flora_051	Static-hinge Pitcher Plant	Sarracenia ferrosonus	pitcher plant	Sarracenia purpurea	flora	Ironmarsh / Basin	zone::ironmarsh	railroad phantom	gut mutualism	Thunderbird register	phage burst cycle	Noelle Silva	storm-borne sacred scale; precision rupture and takeover; pride under terror becoming force	wonder_from_wreckage	American pitcher plant reimagined through Thunderbird register, phage burst cycle, and Noelle Silva; its body keeps the native silhouette but carries altered tissue, display, or behavior that makes it read as WoWaS-native rather than imported.	builds livable beauty from damage, leaves repair-signs or navigable patterns in its wake	rooted beauty/poison/shelter economy pressure	moderate if cornered; high only when its repair pattern is interrupted	Use in The Ironmarsh to make the environment feel inhabited by consequence: tracking, omen, obstacle, resource, or moral mirror for Pip's party.	Keep American naming forward in prose. Source-media names remain generator-side only; never surface them in final narrative description.		
wowas::flora_052	Root-runner Bristlecone Pine	Pinus umbraecallis	bristlecone pine	Pinus longaeva	flora	Thornridge / Outer Territories	zone::thornridge	blue-dog warning	none	Mothman register	tardigrade endurance	Drizzt Do'Urden	warning apparition pressure; impossible survival dormancy; precision exile ethics	fear_by_stripping	American bristlecone pine reimagined through Mothman register, tardigrade endurance, and Drizzt Do'Urden; its body keeps the native silhouette but carries altered tissue, display, or behavior that makes it read as WoWaS-native rather than imported.	removes shelter, warmth, memory, or surface coherence wherever it feeds or nests	rooted beauty/poison/shelter economy pressure	high; contact usually extracts something vital	Use in The Thornridge to make the environment feel inhabited by consequence: tracking, omen, obstacle, resource, or moral mirror for Pip's party.	Keep American naming forward in prose. Source-media names remain generator-side only; never surface them in final narrative description.		
wowas::fungus_053	Echo-moth Turkey Tail Fungus	Trametes sylvata	turkey tail fungus	Trametes versicolor	fungus	Deepwood	zone::deepwood_remnant	hodag-register	mycorrhizal exchange	Hodag register	Stitch	Gromph Baenre	ridged forest menace; engineered ferocity choosing attachment; ruthless hidden calculation	unstable_mixed_field	American turkey tail fungus reimagined through Hodag register, Stitch, and Gromph Baenre; its body keeps the native silhouette but carries altered tissue, display, or behavior that makes it read as WoWaS-native rather than imported.	creates attraction and dread together; its presence can rescue one layer of the world while endangering another	decay, repair, exchange, and body-takeover pressure	variable; safe to approach only when the surrounding field reads coherent	Use in The Deepwood Remnant to make the environment feel inhabited by consequence: tracking, omen, obstacle, resource, or moral mirror for Pip's party.	Keep American naming forward in prose. Source-media names remain generator-side only; never surface them in final narrative description.		
wowas::fungus_054	Fever-hunger Oyster Mushroom	Pleurotus threnodia	oyster mushroom	Pleurotus ostreatus	fungus	Deepwood / Heartland	zone::saltflat_crossing	none	slime mold logic	Coyote-trickster register	Tasslehoff Burrfoot	Ares	clever hunger and misdirection; curiosity ignoring the danger boundary; war-beauty and grievance	wonder_from_wreckage	American oyster mushroom reimagined through Coyote-trickster register, Tasslehoff Burrfoot, and Ares; its body keeps the native silhouette but carries altered tissue, display, or behavior that makes it read as WoWaS-native rather than imported.	builds livable beauty from damage, leaves repair-signs or navigable patterns in its wake	decay, repair, exchange, and body-takeover pressure	moderate if cornered; high only when its repair pattern is interrupted	Use in The Saltflat Crossing to make the environment feel inhabited by consequence: tracking, omen, obstacle, resource, or moral mirror for Pip's party.	Keep American naming forward in prose. Source-media names remain generator-side only; never surface them in final narrative description.		
wowas::fungus_055	Spiral-jaw Cordyceps Register	Ophiocordyceps quoralis	cordyceps register	Ophiocordyceps unilateralis	fungus	Ironmarsh / mythic spill	zone::outer_territories	jackalope-register	gut mutualism	slime mold logic	Jason Stackhouse	Professor McGonagall	distributed problem solving; earnest body-forward warmth; identity-through-transformation	fear_by_stripping	American cordyceps register reimagined through slime mold logic, Jason Stackhouse, and Professor McGonagall; its body keeps the native silhouette but carries altered tissue, display, or behavior that makes it read as WoWaS-native rather than imported.	removes shelter, warmth, memory, or surface coherence wherever it feeds or nests	decay, repair, exchange, and body-takeover pressure	high; contact usually extracts something vital	Use in The Outer Territories to make the environment feel inhabited by consequence: tracking, omen, obstacle, resource, or moral mirror for Pip's party.	Keep American naming forward in prose. Source-media names remain generator-side only; never surface them in final narrative description.		
wowas::fungus_056	Gospel-wing Slime Mold	Physarum mimetica	slime mold	Physarum polycephalum	fungus	Basin / lab-memory	zone::heartland	thunderbird-register	none	mycorrhizal network	Charmy	Freddy Krueger	underground exchange intelligence; emotional volatility with nourishment drive; dream-penetration and intimate threat	unstable_mixed_field	American slime mold reimagined through mycorrhizal network, Charmy, and Freddy Krueger; its body keeps the native silhouette but carries altered tissue, display, or behavior that makes it read as WoWaS-native rather than imported.	creates attraction and dread together; its presence can rescue one layer of the world while endangering another	decay, repair, exchange, and body-takeover pressure	variable; safe to approach only when the surrounding field reads coherent	Use in The Heartland to make the environment feel inhabited by consequence: tracking, omen, obstacle, resource, or moral mirror for Pip's party.	Keep American naming forward in prose. Source-media names remain generator-side only; never surface them in final narrative description.		
wowas::microbe_057	Salt-coil Bioluminescent Bacteria	Aliivibrio arcovita	bioluminescent bacteria	Aliivibrio fischeri	microbe	Basin / marsh lanterns	zone::ashfields	mothman-register	mycorrhizal exchange	biofilm persistence	Natsu Dragneel	Jason Voorhees	sheathing collective survival; explosive protectiveness and heat-hunger; relentless arrival	wonder_from_wreckage	American bioluminescent bacteria reimagined through biofilm persistence, Natsu Dragneel, and Jason Voorhees; its body keeps the native silhouette but carries altered tissue, display, or behavior that makes it read as WoWaS-native rather than imported.	builds livable beauty from damage, leaves repair-signs or navigable patterns in its wake	field-scale unseen metabolism pressure	moderate if cornered; high only when its repair pattern is interrupted	Use in The Ashfields to make the environment feel inhabited by consequence: tracking, omen, obstacle, resource, or moral mirror for Pip's party.	Keep American naming forward in prose. Source-media names remain generator-side only; never surface them in final narrative description.		
wowas::microbe_058	Lattice-antler Cyanobacteria	Microcystis corticata	cyanobacteria	Microcystis aeruginosa	microbe	Still Water Basin	zone::still_water_basin	coyote-trickster	slime mold logic	phage burst cycle	Noelle Silva	Bad Santa	precision rupture and takeover; pride under terror becoming force; profane tenderness under rot	fear_by_stripping	American cyanobacteria reimagined through phage burst cycle, Noelle Silva, and Bad Santa; its body keeps the native silhouette but carries altered tissue, display, or behavior that makes it read as WoWaS-native rather than imported.	removes shelter, warmth, memory, or surface coherence wherever it feeds or nests	field-scale unseen metabolism pressure	high; contact usually extracts something vital	Use in The Still Water Basin to make the environment feel inhabited by consequence: tracking, omen, obstacle, resource, or moral mirror for Pip's party.	Keep American naming forward in prose. Source-media names remain generator-side only; never surface them in final narrative description.		
wowas::microbe_059	Harrow-veil Desert Cryptobiotic Crust	Mixed fulgora	desert cryptobiotic crust	mixed soil microbiome	microbe	Saltflat Crossing	zone::ironmarsh	dust-bowl ghost-light	gut mutualism	tardigrade endurance	Drizzt Do'Urden	Elle Woods	impossible survival dormancy; precision exile ethics; disarming genius	unstable_mixed_field	American desert cryptobiotic crust reimagined through tardigrade endurance, Drizzt Do'Urden, and Elle Woods; its body keeps the native silhouette but carries altered tissue, display, or behavior that makes it read as WoWaS-native rather than imported.	creates attraction and dread together; its presence can rescue one layer of the world while endangering another	field-scale unseen metabolism pressure	variable; safe to approach only when the surrounding field reads coherent	Use in The Ironmarsh to make the environment feel inhabited by consequence: tracking, omen, obstacle, resource, or moral mirror for Pip's party.	Keep American naming forward in prose. Source-media names remain generator-side only; never surface them in final narrative description.		
wowas::microbe_060	Mirror-harp Gut Mutualist Cloud	Bacteroides mirabilis	gut mutualist cloud	Bacteroides register	microbe	all warmblood routes	zone::thornridge	railroad phantom	none	Stitch	Gromph Baenre	Lindsey Stirling	engineered ferocity choosing attachment; ruthless hidden calculation; kinetic string-line motion	wonder_from_wreckage	American gut mutualist cloud reimagined through Stitch, Gromph Baenre, and Lindsey Stirling; its body keeps the native silhouette but carries altered tissue, display, or behavior that makes it read as WoWaS-native rather than imported.	builds livable beauty from damage, leaves repair-signs or navigable patterns in its wake	field-scale unseen metabolism pressure	moderate if cornered; high only when its repair pattern is interrupted	Use in The Thornridge to make the environment feel inhabited by consequence: tracking, omen, obstacle, resource, or moral mirror for Pip's party.	Keep American naming forward in prose. Source-media names remain generator-side only; never surface them in final narrative description.		
wowas::stone_061	Dust-web Amethyst Geode	Sio2 ferrosonus	amethyst geode	SiO2 geode / amethyst	stone	Thornridge / Deepwood	zone::deepwood_remnant	blue-dog warning	mycorrhizal exchange	Tasslehoff Burrfoot	Ares	Apocalyptica	curiosity ignoring the danger boundary; war-beauty and grievance; percussive cello ferocity	fear_by_stripping	American amethyst geode reimagined through Tasslehoff Burrfoot, Ares, and Apocalyptica; its body keeps the native silhouette but carries altered tissue, display, or behavior that makes it read as WoWaS-native rather than imported.	removes shelter, warmth, memory, or surface coherence wherever it feeds or nests	memory, resonance, and structural world-law pressure	high; contact usually extracts something vital	Use in The Deepwood Remnant to make the environment feel inhabited by consequence: tracking, omen, obstacle, resource, or moral mirror for Pip's party.	Keep American naming forward in prose. Source-media names remain generator-side only; never surface them in final narrative description.		
wowas::stone_062	Choir-drift Obsidian	Volcanic umbraecallis	obsidian	volcanic glass	stone	Outer Territories / rupture zones	zone::saltflat_crossing	hodag-register	slime mold logic	Jason Stackhouse	Professor McGonagall	Metallica	earnest body-forward warmth; identity-through-transformation; storm-weight aggression	unstable_mixed_field	American obsidian reimagined through Jason Stackhouse, Professor McGonagall, and Metallica; its body keeps the native silhouette but carries altered tissue, display, or behavior that makes it read as WoWaS-native rather than imported.	creates attraction and dread together; its presence can rescue one layer of the world while endangering another	memory, resonance, and structural world-law pressure	variable; safe to approach only when the surrounding field reads coherent	Use in The Saltflat Crossing to make the environment feel inhabited by consequence: tracking, omen, obstacle, resource, or moral mirror for Pip's party.	Keep American naming forward in prose. Source-media names remain generator-side only; never surface them in final narrative description.		
wowas::stone_063	Furnace-choir Fossil Limestone	Calcium sylvata	fossil limestone	calcium archive stone	stone	Heartland / old beds	zone::outer_territories	none	gut mutualism	Charmy	Freddy Krueger	Sara Evans	emotional volatility with nourishment drive; dream-penetration and intimate threat; open-hearted country lift	wonder_from_wreckage	American fossil limestone reimagined through Charmy, Freddy Krueger, and Sara Evans; its body keeps the native silhouette but carries altered tissue, display, or behavior that makes it read as WoWaS-native rather than imported.	builds livable beauty from damage, leaves repair-signs or navigable patterns in its wake	memory, resonance, and structural world-law pressure	moderate if cornered; high only when its repair pattern is interrupted	Use in The Outer Territories to make the environment feel inhabited by consequence: tracking, omen, obstacle, resource, or moral mirror for Pip's party.	Keep American naming forward in prose. Source-media names remain generator-side only; never surface them in final narrative description.		
wowas::stone_064	Hollow-scar Pyrite	Iron threnodia	pyrite	iron sulfide	stone	Ashfields / Ironmarsh	zone::heartland	jackalope-register	none	Natsu Dragneel	Jason Voorhees	Michael Jackson	explosive protectiveness and heat-hunger; relentless arrival; precision broadcast and impossible rhythm	fear_by_stripping	American pyrite reimagined through Natsu Dragneel, Jason Voorhees, and Michael Jackson; its body keeps the native silhouette but carries altered tissue, display, or behavior that makes it read as WoWaS-native rather than imported.	removes shelter, warmth, memory, or surface coherence wherever it feeds or nests	memory, resonance, and structural world-law pressure	high; contact usually extracts something vital	Use in The Heartland to make the environment feel inhabited by consequence: tracking, omen, obstacle, resource, or moral mirror for Pip's party.	Keep American naming forward in prose. Source-media names remain generator-side only; never surface them in final narrative description.		
wowas::stone_065	Thorn-bloom Petrified Wood	Silicified quoralis	petrified wood	silicified trunk matrix	stone	Deepwood / Thornridge	zone::ashfields	thunderbird-register	mycorrhizal exchange	Noelle Silva	Bad Santa	Lacuna Coil	pride under terror becoming force; profane tenderness under rot; gothic split-voice atmosphere	unstable_mixed_field	American petrified wood reimagined through Noelle Silva, Bad Santa, and Lacuna Coil; its body keeps the native silhouette but carries altered tissue, display, or behavior that makes it read as WoWaS-native rather than imported.	creates attraction and dread together; its presence can rescue one layer of the world while endangering another	memory, resonance, and structural world-law pressure	variable; safe to approach only when the surrounding field reads coherent	Use in The Ashfields to make the environment feel inhabited by consequence: tracking, omen, obstacle, resource, or moral mirror for Pip's party.	Keep American naming forward in prose. Source-media names remain generator-side only; never surface them in final narrative description.		
wowas::stone_066	Lantern-vault Basalt Column	Igneous mimetica	basalt column	igneous fracture stone	stone	Outer Territories	zone::still_water_basin	mothman-register	slime mold logic	Drizzt Do'Urden	Elle Woods	American jackalope	precision exile ethics; disarming genius; false-rabbit trickster uncanniness	wonder_from_wreckage	American basalt column reimagined through Drizzt Do'Urden, Elle Woods, and American jackalope; its body keeps the native silhouette but carries altered tissue, display, or behavior that makes it read as WoWaS-native rather than imported.	builds livable beauty from damage, leaves repair-signs or navigable patterns in its wake	memory, resonance, and structural world-law pressure	moderate if cornered; high only when its repair pattern is interrupted	Use in The Still Water Basin to make the environment feel inhabited by consequence: tracking, omen, obstacle, resource, or moral mirror for Pip's party.	Keep American naming forward in prose. Source-media names remain generator-side only; never surface them in final narrative description.		
wowas::microbe_067	Lantern-Quorum Mire	Quorum bacillus mirabilis	marsh bioluminescent bacterial mats	microbial bloom register	microbe	Ironmarsh	zone::outer_territories	Thunderbird register	luminous quorum sensing	Lacuna Coil	Michael Jackson	slime mold logic	Lacuna Coil; Michael Jackson; slime mold logic; Thunderbird register; luminous quorum sensing	unstable_mixed_field	Lantern-Quorum Mire is a WoWaS-native modification of marsh bioluminescent bacterial mats, retaining an American ecological anchor while translating multiple source-pressure registers into altered behavior, texture, and world consequence.	produces beauty and threat at once	special myth/micro crossover seed	context-dependent; determined by current field coherence and hunger state	Use in Ironmarsh when the environment itself needs to feel characterful, memorable, and metabolically alive.	Internal generator seed; rename or further specialize per biome if promoted to direct scene play.		
wowas::stone_068	Coyote-Riddle Flint	Silex mimetica	Great Plains flint nodule beds	folk artifact stone	stone	Ashfields	zone::outer_territories	coyote-trickster	none	Tasslehoff Burrfoot	Professor McGonagall	Gromph Baenre	Tasslehoff Burrfoot; Professor McGonagall; Gromph Baenre; coyote-trickster	unstable_mixed_field	Coyote-Riddle Flint is a WoWaS-native modification of Great Plains flint nodule beds, retaining an American ecological anchor while translating multiple source-pressure registers into altered behavior, texture, and world consequence.	produces beauty and threat at once	special myth/micro crossover seed	context-dependent; determined by current field coherence and hunger state	Use in Ashfields when the environment itself needs to feel characterful, memorable, and metabolically alive.	Internal generator seed; rename or further specialize per biome if promoted to direct scene play.		
wowas::fungus_069	Widow-Veil Morel	Morchella umbraecallis	American morel	spore-veil register	fungus	Deepwood	zone::outer_territories	blue-dog warning	biofilm persistence	Bad Santa	Noelle Silva	Freddy Krueger	Bad Santa; Noelle Silva; Freddy Krueger; blue-dog warning; biofilm persistence	fear_by_stripping	Widow-Veil Morel is a WoWaS-native modification of American morel, retaining an American ecological anchor while translating multiple source-pressure registers into altered behavior, texture, and world consequence.	actively strips safe surfaces into hazard	special myth/micro crossover seed	context-dependent; determined by current field coherence and hunger state	Use in Deepwood when the environment itself needs to feel characterful, memorable, and metabolically alive.	Internal generator seed; rename or further specialize per biome if promoted to direct scene play.		
